position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
11	function	1:07:00::	2	noun.attribute	1	1	1	1	1	0
3	functions	1:07:00::	2	noun.attribute	1	1	1	1	1	1
15	function	1:04:00::	3	noun.act	1	1	1	1	1	2
4	function	1:07:00::	2	noun.attribute	1	0	1	1	1	3
6	function	1:07:00::	2	noun.attribute	1	0	1	1	1	4
3	functions	1:07:00::	2	noun.attribute	1	0	0	1	1	5
27	functions	1:07:00::	2	noun.attribute	1	0	0	1	1	6
4	function	1:07:00::	2	noun.attribute	1	0	0	1	1	7
18	function	1:07:00::	2	noun.attribute	1	0	0	1	1	8
25	functions	1:07:00::	2	noun.attribute	1	0	0	1	1	9
7	function	1:07:00::	2	noun.attribute	1	0	0	0	1	10
9	function	1:07:00::	2	noun.attribute	1	0	0	0	1	11
1	function	1:04:00::	3	noun.act	1	0	0	0	1	12
40	functions	1:07:00::	2	noun.attribute	1	0	0	0	1	13
3	functions	1:04:00::	3	noun.act	1	0	0	0	1	14
32	functions	1:04:00::	3	noun.act	1	0	0	0	1	15
49	functions	1:07:00::	2	noun.attribute	1	0	0	0	1	16
21	function	1:04:00::	3	noun.act	1	0	0	0	1	17
27	functions	1:07:00::	2	noun.attribute	1	0	0	0	1	18
18	functions	1:07:00::	2	noun.attribute	1	0	0	0	1	19
6	functions	1:07:00::	2	noun.attribute	1	0	0	0	0	20
2	function	1:07:00::	2	noun.attribute	1	0	0	0	0	21
6	functions	1:07:00::	2	noun.attribute	1	0	0	0	0	22
12	function	1:04:00::	3	noun.act	1	0	0	0	0	23
4	function	1:07:00::	2	noun.attribute	1	0	0	0	0	24
9	function	1:24:00::	1	noun.relation	2	2	2	2	2	25
5	function	1:24:00::	1	noun.relation	2	2	2	2	2	26
7	function	1:24:00::	1	noun.relation	2	2	2	2	2	27
5	function	1:24:00::	1	noun.relation	2	0	2	2	2	28
7	functions	1:24:00::	1	noun.relation	2	0	2	2	2	29
28	function	1:24:00::	1	noun.relation	2	0	0	2	2	30
4	function	1:24:00::	1	noun.relation	2	0	0	2	2	31
6	function	1:24:00::	1	noun.relation	2	0	0	2	2	32
7	function	1:24:00::	1	noun.relation	2	0	0	2	2	33
12	function	1:24:00::	1	noun.relation	2	0	0	2	2	34
13	function	1:24:00::	1	noun.relation	2	0	0	0	2	35
8	function	1:24:00::	1	noun.relation	2	0	0	0	2	36
7	function	1:24:00::	1	noun.relation	2	0	0	0	2	37
4	functions	1:24:00::	1	noun.relation	2	0	0	0	2	38
9	functions	1:24:00::	1	noun.relation	2	0	0	0	2	39
13	function	1:24:00::	1	noun.relation	2	0	0	0	2	40
12	functions	1:24:00::	1	noun.relation	2	0	0	0	2	41
52	function	1:24:00::	1	noun.relation	2	0	0	0	2	42
3	function	1:24:00::	1	noun.relation	2	0	0	0	2	43
50	function	1:24:00::	1	noun.relation	2	0	0	0	2	44
15	function	1:24:00::	1	noun.relation	2	0	0	0	0	45
16	function	1:24:00::	1	noun.relation	2	0	0	0	0	46
38	function	1:24:00::	1	noun.relation	2	0	0	0	0	47
5	function	1:24:00::	1	noun.relation	2	0	0	0	0	48
5	functions	1:24:00::	1	noun.relation	2	0	0	0	0	49
