position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
16	gained	2:30:01::	7	verb.change	1	1	1	1	1	0
10	gaining	2:40:03::	1	verb.possession	1	1	1	1	1	1
2	gained	2:40:03::	1	verb.possession	1	1	1	1	1	2
20	gained	2:40:02::	3	verb.possession	1	0	1	1	1	3
4	gaining	2:40:03::	1	verb.possession	1	0	1	1	1	4
4	gaining	2:30:01::	7	verb.change	1	0	0	1	1	5
43	gained	2:40:02::	3	verb.possession	1	0	0	1	1	6
8	gained	2:40:03::	1	verb.possession	1	0	0	1	1	7
30	gain	2:40:01::	2	verb.possession	1	0	0	1	1	8
14	gained	2:40:03::	1	verb.possession	1	0	0	1	1	9
8	gained	2:40:02::	3	verb.possession	1	0	0	0	1	10
14	gain	2:40:01::	2	verb.possession	1	0	0	0	1	11
30	gain	2:40:02::	3	verb.possession	1	0	0	0	1	12
16	gain	2:40:03::	1	verb.possession	1	0	0	0	1	13
7	gaining	2:38:00::	4	verb.motion	1	0	0	0	1	14
11	gain	2:40:03::	1	verb.possession	1	0	0	0	1	15
0	Gaining	2:40:01::	2	verb.possession	1	0	0	0	1	16
12	gain	2:40:03::	1	verb.possession	1	0	0	0	1	17
35	gained	2:40:01::	2	verb.possession	1	0	0	0	1	18
52	gained	2:40:03::	1	verb.possession	1	0	0	0	1	19
3	gained	2:30:00::	6	verb.change	1	0	0	0	0	20
8	gains	2:40:03::	1	verb.possession	1	0	0	0	0	21
3	gain	2:40:02::	3	verb.possession	1	0	0	0	0	22
38	gained	2:40:03::	1	verb.possession	1	0	0	0	0	23
18	gain	2:40:01::	2	verb.possession	1	0	0	0	0	24
1	gained	2:40:03::	1	verb.possession	2	2	2	2	2	25
15	gained	2:40:03::	1	verb.possession	2	2	2	2	2	26
7	gained	2:40:00::	8	verb.possession	2	2	2	2	2	27
2	gained	2:33:00::	5	verb.competition	2	0	2	2	2	28
21	gained	2:38:00::	4	verb.motion	2	0	2	2	2	29
20	gained	2:40:01::	2	verb.possession	2	0	0	2	2	30
6	gaining	2:40:03::	1	verb.possession	2	0	0	2	2	31
27	gained	2:40:03::	1	verb.possession	2	0	0	2	2	32
5	gained	2:40:03::	1	verb.possession	2	0	0	2	2	33
11	gaining	2:38:00::	4	verb.motion	2	0	0	2	2	34
14	gaining	2:40:01::	2	verb.possession	2	0	0	0	2	35
0	Gaining	2:40:01::	2	verb.possession	2	0	0	0	2	36
4	gain	2:40:03::	1	verb.possession	2	0	0	0	2	37
25	gain	2:40:03::	1	verb.possession	2	0	0	0	2	38
8	gained	2:40:01::	2	verb.possession	2	0	0	0	2	39
9	gained	2:40:03::	1	verb.possession	2	0	0	0	2	40
2	gain	2:40:02::	3	verb.possession	2	0	0	0	2	41
2	gained	2:40:03::	1	verb.possession	2	0	0	0	2	42
11	gained	2:40:03::	1	verb.possession	2	0	0	0	2	43
22	gained	2:40:01::	2	verb.possession	2	0	0	0	2	44
14	gained	2:40:02::	3	verb.possession	2	0	0	0	0	45
27	gained	2:38:00::	4	verb.motion	2	0	0	0	0	46
7	gain	2:30:00::	6	verb.change	2	0	0	0	0	47
18	gained	2:40:01::	2	verb.possession	2	0	0	0	0	48
24	gained	2:40:03::	1	verb.possession	2	0	0	0	0	49
