position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
1	game	1:04:00::	1	noun.act	1	1	1	1	1	0
4	game	1:04:03::	2	noun.act	1	1	1	1	1	1
8	games	1:04:01::	3	noun.act	1	1	1	1	1	2
8	game	1:04:03::	2	noun.act	1	0	1	1	1	3
12	game	1:04:00::	1	noun.act	1	0	1	1	1	4
15	games	1:04:00::	1	noun.act	1	0	0	1	1	5
19	game	1:05:00::	4	noun.animal	1	0	0	1	1	6
37	game	1:04:00::	1	noun.act	1	0	0	1	1	7
22	games	1:04:00::	1	noun.act	1	0	0	1	1	8
10	game	1:04:00::	1	noun.act	1	0	0	1	1	9
11	game	1:04:03::	2	noun.act	1	0	0	0	1	10
18	game	1:04:00::	1	noun.act	1	0	0	0	1	11
18	game	1:04:00::	1	noun.act	1	0	0	0	1	12
13	game	1:04:01::	3	noun.act	1	0	0	0	1	13
17	game	1:04:00::	1	noun.act	1	0	0	0	1	14
27	game	1:04:01::	3	noun.act	1	0	0	0	1	15
18	game	1:04:03::	2	noun.act	1	0	0	0	1	16
16	games	1:04:00::	1	noun.act	1	0	0	0	1	17
20	games	1:04:00::	1	noun.act	1	0	0	0	1	18
22	games	1:04:00::	1	noun.act	1	0	0	0	1	19
8	game	1:04:00::	1	noun.act	1	0	0	0	0	20
2	game	1:04:00::	1	noun.act	1	0	0	0	0	21
1	game	1:04:00::	1	noun.act	1	0	0	0	0	22
17	game	1:04:00::	1	noun.act	1	0	0	0	0	23
18	game	1:04:01::	3	noun.act	1	0	0	0	0	24
1	game	1:04:03::	2	noun.act	2	2	2	2	2	25
17	games	1:04:00::	1	noun.act	2	2	2	2	2	26
9	game	1:04:00::	1	noun.act	2	2	2	2	2	27
25	game	1:05:00::	4	noun.animal	2	0	2	2	2	28
7	game	1:04:00::	1	noun.act	2	0	2	2	2	29
8	games	1:04:01::	3	noun.act	2	0	0	2	2	30
15	game	1:04:00::	1	noun.act	2	0	0	2	2	31
4	game	1:04:03::	2	noun.act	2	0	0	2	2	32
22	game	1:04:03::	2	noun.act	2	0	0	2	2	33
8	game	1:04:03::	2	noun.act	2	0	0	2	2	34
7	games	1:04:01::	3	noun.act	2	0	0	0	2	35
8	game	1:04:01::	3	noun.act	2	0	0	0	2	36
7	game	1:04:00::	1	noun.act	2	0	0	0	2	37
6	game	1:04:00::	1	noun.act	2	0	0	0	2	38
14	game	1:04:03::	2	noun.act	2	0	0	0	2	39
1	game	1:05:00::	4	noun.animal	2	0	0	0	2	40
17	games	1:04:00::	1	noun.act	2	0	0	0	2	41
11	game	1:04:03::	2	noun.act	2	0	0	0	2	42
11	game	1:04:03::	2	noun.act	2	0	0	0	2	43
5	game	1:04:01::	3	noun.act	2	0	0	0	2	44
11	game	1:04:00::	1	noun.act	2	0	0	0	0	45
10	game	1:04:03::	2	noun.act	2	0	0	0	0	46
15	game	1:04:03::	2	noun.act	2	0	0	0	0	47
17	game	1:04:03::	2	noun.act	2	0	0	0	0	48
8	game	1:04:03::	2	noun.act	2	0	0	0	0	49
