position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
9	general	3:00:00::	1	adj.all	1	1	1	1	1	0
25	general	3:00:00::	1	adj.all	1	1	1	1	1	1
5	general	3:00:00::	1	adj.all	1	1	1	1	1	2
1	general	3:00:00::	1	adj.all	1	0	1	1	1	3
5	general	3:00:00::	1	adj.all	1	0	1	1	1	4
18	general	3:00:00::	1	adj.all	1	0	0	1	1	5
1	general	3:00:00::	1	adj.all	1	0	0	1	1	6
32	general	3:00:00::	1	adj.all	1	0	0	1	1	7
10	general	3:00:00::	1	adj.all	1	0	0	1	1	8
20	general	3:00:00::	1	adj.all	1	0	0	1	1	9
0	General	3:00:00::	1	adj.all	1	0	0	0	1	10
1	general	3:00:00::	1	adj.all	1	0	0	0	1	11
6	general	3:00:00::	1	adj.all	1	0	0	0	1	12
22	general	3:00:00::	1	adj.all	1	0	0	0	1	13
53	general	3:00:00::	1	adj.all	1	0	0	0	1	14
21	general	3:00:00::	1	adj.all	1	0	0	0	1	15
22	general	3:00:00::	1	adj.all	1	0	0	0	1	16
15	general	3:00:00::	1	adj.all	1	0	0	0	1	17
245	general	3:00:00::	1	adj.all	1	0	0	0	1	18
16	general	3:00:00::	1	adj.all	1	0	0	0	1	19
6	general	3:00:00::	1	adj.all	1	0	0	0	0	20
26	general	5:00:00:common:01	3	adj.all	1	0	0	0	0	21
3	general	3:00:00::	1	adj.all	1	0	0	0	0	22
1	general	5:00:00:undiversified:00	2	adj.all	1	0	0	0	0	23
24	general	3:00:00::	1	adj.all	1	0	0	0	0	24
10	general	3:00:00::	1	adj.all	2	2	2	2	2	25
9	general	3:00:00::	1	adj.all	2	2	2	2	2	26
20	general	3:00:00::	1	adj.all	2	2	2	2	2	27
15	general	3:00:00::	1	adj.all	2	0	2	2	2	28
6	general	3:00:00::	1	adj.all	2	0	2	2	2	29
14	general	3:00:00::	1	adj.all	2	0	0	2	2	30
18	general	3:00:00::	1	adj.all	2	0	0	2	2	31
6	general	3:00:00::	1	adj.all	2	0	0	2	2	32
12	general	3:00:00::	1	adj.all	2	0	0	2	2	33
4	general	3:00:00::	1	adj.all	2	0	0	2	2	34
17	general	3:00:00::	1	adj.all	2	0	0	0	2	35
1	general	3:00:00::	1	adj.all	2	0	0	0	2	36
5	general	3:00:00::	1	adj.all	2	0	0	0	2	37
24	general	3:00:00::	1	adj.all	2	0	0	0	2	38
18	general	3:00:00::	1	adj.all	2	0	0	0	2	39
11	general	3:00:00::	1	adj.all	2	0	0	0	2	40
79	general	3:00:00::	1	adj.all	2	0	0	0	2	41
16	General	3:00:00::	1	adj.all	2	0	0	0	2	42
6	general	3:00:00::	1	adj.all	2	0	0	0	2	43
1	general	3:00:00::	1	adj.all	2	0	0	0	2	44
16	general	3:00:00::	1	adj.all	2	0	0	0	0	45
10	general	3:00:00::	1	adj.all	2	0	0	0	0	46
23	general	5:00:00:undiversified:00	2	adj.all	2	0	0	0	0	47
9	general	3:00:00::	1	adj.all	2	0	0	0	0	48
25	general	3:00:00::	1	adj.all	2	0	0	0	0	49
