position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
15	girl	1:18:00::	1	noun.person	1	1	1	1	1	0
29	girl	1:18:02::	2	noun.person	1	1	1	1	1	1
5	girl	1:18:03::	5	noun.person	1	1	1	1	1	2
51	girls	1:18:02::	2	noun.person	1	0	1	1	1	3
1	girls	1:18:00::	1	noun.person	1	0	1	1	1	4
4	girl	1:18:02::	2	noun.person	1	0	0	1	1	5
1	girls	1:18:00::	1	noun.person	1	0	0	1	1	6
9	girl	1:18:00::	1	noun.person	1	0	0	1	1	7
21	girl	1:18:02::	2	noun.person	1	0	0	1	1	8
30	girl	1:18:03::	5	noun.person	1	0	0	1	1	9
16	girl	1:18:02::	2	noun.person	1	0	0	0	1	10
1	girl	1:18:00::	1	noun.person	1	0	0	0	1	11
3	girl	1:18:01::	4	noun.person	1	0	0	0	1	12
32	girls	1:18:04::	3	noun.person	1	0	0	0	1	13
10	girl	1:18:02::	2	noun.person	1	0	0	0	1	14
10	girls	1:18:00::	1	noun.person	1	0	0	0	1	15
1	girl	1:18:00::	1	noun.person	1	0	0	0	1	16
14	girls	1:18:02::	2	noun.person	1	0	0	0	1	17
6	girl	1:18:00::	1	noun.person	1	0	0	0	1	18
12	girl	1:18:00::	1	noun.person	1	0	0	0	1	19
35	girls	1:18:02::	2	noun.person	1	0	0	0	0	20
18	girls	1:18:00::	1	noun.person	1	0	0	0	0	21
1	girls	1:18:00::	1	noun.person	1	0	0	0	0	22
14	girl	1:18:02::	2	noun.person	1	0	0	0	0	23
2	girls	1:18:02::	2	noun.person	1	0	0	0	0	24
7	girl	1:18:00::	1	noun.person	2	2	2	2	2	25
16	girl	1:18:02::	2	noun.person	2	2	2	2	2	26
70	girls	1:18:04::	3	noun.person	2	2	2	2	2	27
15	girls	1:18:02::	2	noun.person	2	0	2	2	2	28
14	girls	1:18:00::	1	noun.person	2	0	2	2	2	29
1	girls	1:18:00::	1	noun.person	2	0	0	2	2	30
6	girl	1:18:00::	1	noun.person	2	0	0	2	2	31
10	girl	1:18:00::	1	noun.person	2	0	0	2	2	32
2	girl	1:18:00::	1	noun.person	2	0	0	2	2	33
18	girl	1:18:02::	2	noun.person	2	0	0	2	2	34
4	girl	1:18:00::	1	noun.person	2	0	0	0	2	35
22	girl	1:18:02::	2	noun.person	2	0	0	0	2	36
20	girls	1:18:00::	1	noun.person	2	0	0	0	2	37
9	girl	1:18:04::	3	noun.person	2	0	0	0	2	38
7	girls	1:18:02::	2	noun.person	2	0	0	0	2	39
1	girls	1:18:00::	1	noun.person	2	0	0	0	2	40
10	girls	1:18:00::	1	noun.person	2	0	0	0	2	41
10	girl	1:18:00::	1	noun.person	2	0	0	0	2	42
33	girl	1:18:00::	1	noun.person	2	0	0	0	2	43
25	girls	1:18:02::	2	noun.person	2	0	0	0	2	44
8	girls	1:18:00::	1	noun.person	2	0	0	0	0	45
3	girl	1:18:00::	1	noun.person	2	0	0	0	0	46
2	girl	1:18:02::	2	noun.person	2	0	0	0	0	47
48	girls	1:18:02::	2	noun.person	2	0	0	0	0	48
3	girls	1:18:04::	3	noun.person	2	0	0	0	0	49
