position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
13	God	1:18:00::	1	noun.person	1	1	1	1	1	0
0	God	1:18:00::	1	noun.person	1	1	1	1	1	1
18	God	1:18:00::	1	noun.person	1	1	1	1	1	2
5	God	1:18:00::	1	noun.person	1	0	1	1	1	3
9	God	1:18:00::	1	noun.person	1	0	1	1	1	4
61	God	1:18:00::	1	noun.person	1	0	0	1	1	5
4	God	1:18:00::	1	noun.person	1	0	0	1	1	6
13	God	1:18:00::	1	noun.person	1	0	0	1	1	7
2	God	1:18:01::	2	noun.person	1	0	0	1	1	8
12	God	1:18:00::	1	noun.person	1	0	0	1	1	9
8	God	1:18:00::	1	noun.person	1	0	0	0	1	10
11	God	1:18:00::	1	noun.person	1	0	0	0	1	11
4	God	1:18:00::	1	noun.person	1	0	0	0	1	12
2	God	1:18:00::	1	noun.person	1	0	0	0	1	13
17	God	1:18:00::	1	noun.person	1	0	0	0	1	14
14	God	1:18:00::	1	noun.person	1	0	0	0	1	15
15	God	1:18:00::	1	noun.person	1	0	0	0	1	16
16	God	1:18:00::	1	noun.person	1	0	0	0	1	17
23	God	1:18:00::	1	noun.person	1	0	0	0	1	18
8	God	1:18:00::	1	noun.person	1	0	0	0	1	19
1	God	1:18:00::	1	noun.person	1	0	0	0	0	20
12	God	1:18:00::	1	noun.person	1	0	0	0	0	21
2	God	1:18:00::	1	noun.person	1	0	0	0	0	22
33	God	1:18:00::	1	noun.person	1	0	0	0	0	23
12	God	1:18:00::	1	noun.person	1	0	0	0	0	24
16	God	1:18:00::	1	noun.person	2	2	2	2	2	25
3	God	1:18:01::	2	noun.person	2	2	2	2	2	26
10	God	1:18:00::	1	noun.person	2	2	2	2	2	27
12	God	1:18:01::	2	noun.person	2	0	2	2	2	28
20	God	1:18:00::	1	noun.person	2	0	2	2	2	29
25	God	1:18:00::	1	noun.person	2	0	0	2	2	30
16	God	1:18:01::	2	noun.person	2	0	0	2	2	31
18	God	1:18:00::	1	noun.person	2	0	0	2	2	32
9	God	1:18:00::	1	noun.person	2	0	0	2	2	33
3	God	1:18:00::	1	noun.person	2	0	0	2	2	34
11	God	1:18:00::	1	noun.person	2	0	0	0	2	35
6	God	1:18:00::	1	noun.person	2	0	0	0	2	36
2	God	1:18:00::	1	noun.person	2	0	0	0	2	37
1	God	1:18:00::	1	noun.person	2	0	0	0	2	38
12	God	1:18:00::	1	noun.person	2	0	0	0	2	39
3	God	1:18:00::	1	noun.person	2	0	0	0	2	40
9	God	1:18:00::	1	noun.person	2	0	0	0	2	41
5	God	1:18:00::	1	noun.person	2	0	0	0	2	42
10	God	1:18:00::	1	noun.person	2	0	0	0	2	43
0	God	1:18:00::	1	noun.person	2	0	0	0	2	44
6	God	1:18:00::	1	noun.person	2	0	0	0	0	45
18	gods	1:18:01::	2	noun.person	2	0	0	0	0	46
28	gods	1:18:01::	2	noun.person	2	0	0	0	0	47
17	God	1:18:00::	1	noun.person	2	0	0	0	0	48
28	God	1:18:00::	1	noun.person	2	0	0	0	0	49
