position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	good	3:00:01::	1	adj.all	1	1	1	1	1	0
9	good	3:00:01::	1	adj.all	1	1	1	1	1	1
24	good	5:00:00:reputable:00	4	adj.all	1	1	1	1	1	2
10	good	3:00:01::	1	adj.all	1	0	1	1	1	3
8	good	3:00:01::	1	adj.all	1	0	1	1	1	4
15	good	3:00:01::	1	adj.all	1	0	0	1	1	5
20	good	3:00:01::	1	adj.all	1	0	0	1	1	6
1	Good	3:00:02::	3	adj.all	1	0	0	1	1	7
13	good	3:00:01::	1	adj.all	1	0	0	1	1	8
11	good	3:00:01::	1	adj.all	1	0	0	1	1	9
4	good	5:00:00:close:02	10	adj.all	1	0	0	0	1	10
7	good	3:00:01::	1	adj.all	1	0	0	0	1	11
17	good	3:00:01::	1	adj.all	1	0	0	0	1	12
20	good	5:00:00:superior:02	0	adj.all	1	0	0	0	1	13
3	good	3:00:01::	1	adj.all	1	0	0	0	1	14
17	good	3:00:01::	1	adj.all	1	0	0	0	1	15
18	good	3:00:01::	1	adj.all	1	0	0	0	1	16
53	good	3:00:01::	1	adj.all	1	0	0	0	1	17
5	good	3:00:01::	1	adj.all	1	0	0	0	1	18
2	good	3:00:01::	1	adj.all	1	0	0	0	1	19
51	good	3:00:02::	3	adj.all	1	0	0	0	0	20
42	good	5:00:00:reputable:00	4	adj.all	1	0	0	0	0	21
4	good	3:00:01::	1	adj.all	1	0	0	0	0	22
27	good	3:00:01::	1	adj.all	1	0	0	0	0	23
7	good	3:00:01::	1	adj.all	1	0	0	0	0	24
7	good	5:00:00:opportune:00	12	adj.all	2	2	2	2	2	25
4	good	3:00:01::	1	adj.all	2	2	2	2	2	26
25	better	3:00:01::	1	adj.all	2	2	2	2	2	27
25	good	3:00:01::	1	adj.all	2	0	2	2	2	28
20	good	5:00:00:ample:00	2	adj.all	2	0	2	2	2	29
4	good	3:00:01::	1	adj.all	2	0	0	2	2	30
8	good	3:00:01::	1	adj.all	2	0	0	2	2	31
14	good	3:00:01::	1	adj.all	2	0	0	2	2	32
11	good	5:00:00:ample:00	2	adj.all	2	0	0	2	2	33
12	good	5:00:00:advantageous:00	5	adj.all	2	0	0	2	2	34
18	good	3:00:01::	1	adj.all	2	0	0	0	2	35
25	good	3:00:01::	1	adj.all	2	0	0	0	2	36
28	good	3:00:02::	3	adj.all	2	0	0	0	2	37
8	good	3:00:01::	1	adj.all	2	0	0	0	2	38
7	good	5:00:00:advantageous:00	5	adj.all	2	0	0	0	2	39
3	good	3:00:01::	1	adj.all	2	0	0	0	2	40
23	good	3:00:02::	3	adj.all	2	0	0	0	2	41
27	good	3:00:01::	1	adj.all	2	0	0	0	2	42
13	good	3:00:01::	1	adj.all	2	0	0	0	2	43
10	good	3:00:01::	1	adj.all	2	0	0	0	2	44
6	good	3:00:01::	1	adj.all	2	0	0	0	0	45
8	good	3:00:01::	1	adj.all	2	0	0	0	0	46
3	good	3:00:02::	3	adj.all	2	0	0	0	0	47
20	good	3:00:01::	1	adj.all	2	0	0	0	0	48
9	good	3:00:01::	1	adj.all	2	0	0	0	0	49
