position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
1	Government	1:14:00::	1	noun.group	1	1	1	1	1	0
63	Government	1:14:00::	1	noun.group	1	1	1	1	1	1
11	government	1:14:00::	1	noun.group	1	1	1	1	1	2
1	Government	1:14:00::	1	noun.group	1	0	1	1	1	3
55	government	1:14:00::	1	noun.group	1	0	1	1	1	4
23	government	1:14:00::	1	noun.group	1	0	0	1	1	5
25	Government	1:14:00::	1	noun.group	1	0	0	1	1	6
37	Government	1:14:00::	1	noun.group	1	0	0	1	1	7
20	governments	1:14:00::	1	noun.group	1	0	0	1	1	8
12	Government	1:14:00::	1	noun.group	1	0	0	1	1	9
1	government	1:14:00::	1	noun.group	1	0	0	0	1	10
12	government	1:14:00::	1	noun.group	1	0	0	0	1	11
37	governments	1:14:00::	1	noun.group	1	0	0	0	1	12
11	government	1:14:00::	1	noun.group	1	0	0	0	1	13
7	Government	1:14:00::	1	noun.group	1	0	0	0	1	14
6	government	1:14:00::	1	noun.group	1	0	0	0	1	15
63	Government	1:14:00::	1	noun.group	1	0	0	0	1	16
11	government	1:14:00::	1	noun.group	1	0	0	0	1	17
17	Government	1:14:00::	1	noun.group	1	0	0	0	1	18
42	government	1:14:00::	1	noun.group	1	0	0	0	1	19
6	Government	1:14:00::	1	noun.group	1	0	0	0	0	20
28	government	1:14:00::	1	noun.group	1	0	0	0	0	21
7	government	1:14:00::	1	noun.group	1	0	0	0	0	22
12	government	1:04:00::	2	noun.act	1	0	0	0	0	23
1	Government	1:14:00::	1	noun.group	1	0	0	0	0	24
6	government	1:04:00::	2	noun.act	2	2	2	2	2	25
11	Government	1:14:00::	1	noun.group	2	2	2	2	2	26
12	government	1:14:00::	1	noun.group	2	2	2	2	2	27
18	government	1:14:00::	1	noun.group	2	0	2	2	2	28
38	government	1:14:00::	1	noun.group	2	0	2	2	2	29
21	Government	1:14:00::	1	noun.group	2	0	0	2	2	30
38	government	1:14:00::	1	noun.group	2	0	0	2	2	31
14	government	1:14:00::	1	noun.group	2	0	0	2	2	32
23	governments	1:14:00::	1	noun.group	2	0	0	2	2	33
27	government	1:14:00::	1	noun.group	2	0	0	2	2	34
0	Government	1:04:00::	2	noun.act	2	0	0	0	2	35
9	governments	1:14:00::	1	noun.group	2	0	0	0	2	36
24	government	1:14:00::	1	noun.group	2	0	0	0	2	37
43	government	1:14:00::	1	noun.group	2	0	0	0	2	38
19	government	1:14:00::	1	noun.group	2	0	0	0	2	39
12	government	1:14:00::	1	noun.group	2	0	0	0	2	40
6	government	1:14:00::	1	noun.group	2	0	0	0	2	41
3	government	1:14:00::	1	noun.group	2	0	0	0	2	42
1	government	1:14:00::	1	noun.group	2	0	0	0	2	43
42	government	1:14:00::	1	noun.group	2	0	0	0	2	44
21	government	1:14:00::	1	noun.group	2	0	0	0	0	45
5	governments	1:14:00::	1	noun.group	2	0	0	0	0	46
10	governments	1:14:00::	1	noun.group	2	0	0	0	0	47
19	governments	1:14:00::	1	noun.group	2	0	0	0	0	48
24	Government	1:14:00::	1	noun.group	2	0	0	0	0	49
