position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
4	greater	5:00:00:high:02	0	adj.all	1	1	1	1	1	0
21	great	5:00:01:important:00	2	adj.all	1	1	1	1	1	1
5	great	5:00:00:good:01	4	adj.all	1	1	1	1	1	2
13	great	5:00:01:large:00	1	adj.all	1	0	1	1	1	3
7	greater	5:00:01:large:00	1	adj.all	1	0	1	1	1	4
8	great	5:00:00:high:02	0	adj.all	1	0	0	1	1	5
13	great	5:00:01:important:00	2	adj.all	1	0	0	1	1	6
8	greater	5:00:01:large:00	1	adj.all	1	0	0	1	1	7
17	great	5:00:01:large:00	1	adj.all	1	0	0	1	1	8
12	greater	5:00:00:high:02	0	adj.all	1	0	0	1	1	9
3	great	5:00:00:high:02	0	adj.all	1	0	0	0	1	10
15	great	5:00:00:high:02	0	adj.all	1	0	0	0	1	11
2	great	5:00:00:major:06	0	adj.all	1	0	0	0	1	12
18	great	5:00:01:large:00	1	adj.all	1	0	0	0	1	13
4	great	5:00:01:extraordinary:00	3	adj.all	1	0	0	0	1	14
7	great	5:00:00:high:02	0	adj.all	1	0	0	0	1	15
20	greater	5:00:00:high:02	0	adj.all	1	0	0	0	1	16
7	greater	5:00:01:large:00	1	adj.all	1	0	0	0	1	17
5	great	5:00:01:large:00	1	adj.all	1	0	0	0	1	18
8	great	5:00:01:large:00	1	adj.all	1	0	0	0	1	19
21	great	5:00:01:large:00	1	adj.all	1	0	0	0	0	20
3	great	5:00:01:large:00	1	adj.all	1	0	0	0	0	21
12	great	5:00:00:high:02	0	adj.all	1	0	0	0	0	22
8	great	5:00:00:high:02	0	adj.all	1	0	0	0	0	23
19	great	5:00:01:large:00	1	adj.all	1	0	0	0	0	24
13	great	5:00:00:high:02	0	adj.all	2	2	2	2	2	25
16	great	5:00:00:high:02	0	adj.all	2	2	2	2	2	26
22	great	5:00:00:major:06	0	adj.all	2	2	2	2	2	27
12	great	5:00:00:high:02	0	adj.all	2	0	2	2	2	28
17	great	5:00:01:important:00	2	adj.all	2	0	2	2	2	29
12	great	5:00:00:high:02	0	adj.all	2	0	0	2	2	30
36	great	5:00:01:large:00	1	adj.all	2	0	0	2	2	31
12	great	5:00:00:high:02	0	adj.all	2	0	0	2	2	32
0	Great	5:00:00:high:02	0	adj.all	2	0	0	2	2	33
8	great	5:00:00:major:06	0	adj.all	2	0	0	2	2	34
14	greater	5:00:00:high:02	0	adj.all	2	0	0	0	2	35
10	great	5:00:01:large:00	1	adj.all	2	0	0	0	2	36
8	great	5:00:01:important:00	2	adj.all	2	0	0	0	2	37
1	great	5:00:01:important:00	2	adj.all	2	0	0	0	2	38
9	great	5:00:01:large:00	1	adj.all	2	0	0	0	2	39
31	great	5:00:00:high:02	0	adj.all	2	0	0	0	2	40
17	greater	5:00:01:large:00	1	adj.all	2	0	0	0	2	41
38	great	5:00:00:high:02	0	adj.all	2	0	0	0	2	42
20	great	5:00:01:important:00	2	adj.all	2	0	0	0	2	43
8	great	5:00:00:major:06	0	adj.all	2	0	0	0	2	44
6	great	5:00:01:large:00	1	adj.all	2	0	0	0	0	45
8	great	5:00:01:large:00	1	adj.all	2	0	0	0	0	46
15	great	5:00:01:large:00	1	adj.all	2	0	0	0	0	47
4	great	5:00:01:large:00	1	adj.all	2	0	0	0	0	48
28	great	5:00:01:large:00	1	adj.all	2	0	0	0	0	49
