position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
15	ground	1:16:00::	2	noun.motive	1	1	1	1	1	0
19	ground	1:17:00::	1	noun.object	1	1	1	1	1	1
6	ground	1:17:00::	1	noun.object	1	1	1	1	1	2
18	ground	1:17:00::	1	noun.object	1	0	1	1	1	3
15	ground	1:17:00::	1	noun.object	1	0	1	1	1	4
14	ground	1:17:00::	1	noun.object	1	0	0	1	1	5
4	ground	1:17:00::	1	noun.object	1	0	0	1	1	6
17	ground	1:17:00::	1	noun.object	1	0	0	1	1	7
17	ground	1:17:00::	1	noun.object	1	0	0	1	1	8
23	grounds	1:16:00::	2	noun.motive	1	0	0	1	1	9
13	grounds	1:16:00::	2	noun.motive	1	0	0	0	1	10
17	ground	1:17:00::	1	noun.object	1	0	0	0	1	11
4	ground	1:17:00::	1	noun.object	1	0	0	0	1	12
29	ground	1:17:00::	1	noun.object	1	0	0	0	1	13
36	ground	1:17:00::	1	noun.object	1	0	0	0	1	14
17	ground	1:17:00::	1	noun.object	1	0	0	0	1	15
9	grounds	1:16:00::	2	noun.motive	1	0	0	0	1	16
9	ground	1:24:00::	4	noun.relation	1	0	0	0	1	17
21	ground	1:17:00::	1	noun.object	1	0	0	0	1	18
45	ground	1:27:00::	3	noun.substance	1	0	0	0	1	19
9	ground	1:17:00::	1	noun.object	1	0	0	0	0	20
13	ground	1:17:00::	1	noun.object	1	0	0	0	0	21
14	grounds	1:16:00::	2	noun.motive	1	0	0	0	0	22
8	ground	1:17:00::	1	noun.object	1	0	0	0	0	23
9	ground	1:17:00::	1	noun.object	1	0	0	0	0	24
7	ground	1:17:00::	1	noun.object	2	2	2	2	2	25
7	ground	1:27:00::	3	noun.substance	2	2	2	2	2	26
11	ground	1:17:00::	1	noun.object	2	2	2	2	2	27
4	ground	1:17:00::	1	noun.object	2	0	2	2	2	28
18	ground	1:27:00::	3	noun.substance	2	0	2	2	2	29
17	ground	1:17:00::	1	noun.object	2	0	0	2	2	30
32	ground	1:17:00::	1	noun.object	2	0	0	2	2	31
13	ground	1:17:00::	1	noun.object	2	0	0	2	2	32
24	ground	1:17:00::	1	noun.object	2	0	0	2	2	33
23	ground	1:17:00::	1	noun.object	2	0	0	2	2	34
6	ground	1:17:00::	1	noun.object	2	0	0	0	2	35
3	ground	1:27:00::	3	noun.substance	2	0	0	0	2	36
12	ground	1:17:00::	1	noun.object	2	0	0	0	2	37
21	ground	1:17:00::	1	noun.object	2	0	0	0	2	38
16	grounds	1:16:00::	2	noun.motive	2	0	0	0	2	39
1	ground	1:16:00::	2	noun.motive	2	0	0	0	2	40
23	ground	1:27:00::	3	noun.substance	2	0	0	0	2	41
1	grounds	1:16:00::	2	noun.motive	2	0	0	0	2	42
22	ground	1:27:00::	3	noun.substance	2	0	0	0	2	43
7	ground	1:17:00::	1	noun.object	2	0	0	0	2	44
19	ground	1:17:00::	1	noun.object	2	0	0	0	0	45
5	ground	1:09:00::	6	noun.cognition	2	0	0	0	0	46
19	grounds	1:16:00::	2	noun.motive	2	0	0	0	0	47
5	ground	1:17:00::	1	noun.object	2	0	0	0	0	48
10	ground	1:17:00::	1	noun.object	2	0	0	0	0	49
