position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	Kirov	1:03:00::	1	noun.Tops	1	1	1	1	1	0
10	group	1:03:00::	1	noun.Tops	1	1	1	1	1	1
19	group	1:03:00::	1	noun.Tops	1	1	1	1	1	2
26	U.N.	1:03:00::	1	noun.Tops	1	0	1	1	1	3
8	Steelers	1:03:00::	1	noun.Tops	1	0	1	1	1	4
7	group	1:03:00::	1	noun.Tops	1	0	0	1	1	5
7	Chevrolet	1:03:00::	1	noun.Tops	1	0	0	1	1	6
18	Continental	1:03:00::	1	noun.Tops	1	0	0	1	1	7
10	Baylor	1:03:00::	1	noun.Tops	1	0	0	1	1	8
6	Decca	1:03:00::	1	noun.Tops	1	0	0	1	1	9
6	Vail	1:03:00::	1	noun.Tops	1	0	0	0	1	10
3	Yankees	1:03:00::	1	noun.Tops	1	0	0	0	1	11
1	Yankee	1:03:00::	1	noun.Tops	1	0	0	0	1	12
8	Yankees	1:03:00::	1	noun.Tops	1	0	0	0	1	13
2	group	1:03:00::	1	noun.Tops	1	0	0	0	1	14
6	Angel	1:03:00::	1	noun.Tops	1	0	0	0	1	15
2	Commerce	1:03:00::	1	noun.Tops	1	0	0	0	1	16
18	Giants	1:03:00::	1	noun.Tops	1	0	0	0	1	17
5	Tribe	1:03:00::	1	noun.Tops	1	0	0	0	1	18
26	group	1:03:00::	1	noun.Tops	1	0	0	0	1	19
5	Smith-Hughes	1:03:00::	1	noun.Tops	1	0	0	0	0	20
2	group	1:03:00::	1	noun.Tops	1	0	0	0	0	21
1	Theatre-By-The-Sea	1:03:00::	1	noun.Tops	1	0	0	0	0	22
21	ADC	1:03:00::	1	noun.Tops	1	0	0	0	0	23
9	Redbirds	1:03:00::	1	noun.Tops	1	0	0	0	0	24
1	Redbirds	1:03:00::	1	noun.Tops	2	2	2	2	2	25
7	Orioles	1:03:00::	1	noun.Tops	2	2	2	2	2	26
12	group	1:03:00::	1	noun.Tops	2	2	2	2	2	27
5	group	1:03:00::	1	noun.Tops	2	0	2	2	2	28
6	group	1:03:00::	1	noun.Tops	2	0	2	2	2	29
6	Cubist	1:03:00::	1	noun.Tops	2	0	0	2	2	30
16	Orioles	1:03:00::	1	noun.Tops	2	0	0	2	2	31
12	group	1:03:00::	1	noun.Tops	2	0	0	2	2	32
2	Westminster	1:03:00::	1	noun.Tops	2	0	0	2	2	33
2	Nasser	1:03:00::	1	noun.Tops	2	0	0	2	2	34
7	Congress	1:03:00::	1	noun.Tops	2	0	0	0	2	35
0	Arkansas	1:03:00::	1	noun.Tops	2	0	0	0	2	36
0	Philadelphia	1:03:00::	1	noun.Tops	2	0	0	0	2	37
13	Oxford	1:03:00::	1	noun.Tops	2	0	0	0	2	38
29	Maryinsky	1:03:00::	1	noun.Tops	2	0	0	0	2	39
30	PTA	1:03:00::	1	noun.Tops	2	0	0	0	2	40
1	group	1:03:00::	1	noun.Tops	2	0	0	0	2	41
7	Yankee	1:03:00::	1	noun.Tops	2	0	0	0	2	42
15	Bills	1:03:00::	1	noun.Tops	2	0	0	0	2	43
34	Bureau	1:03:00::	1	noun.Tops	2	0	0	0	2	44
7	USP	1:03:00::	1	noun.Tops	2	0	0	0	0	45
10	Aggies	1:03:00::	1	noun.Tops	2	0	0	0	0	46
10	group	1:03:00::	1	noun.Tops	2	0	0	0	0	47
24	group	1:03:00::	1	noun.Tops	2	0	0	0	0	48
2	group	1:03:00::	1	noun.Tops	2	0	0	0	0	49
