position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	grown	2:30:03::	1	verb.change	1	1	1	1	1	0
2	grew	2:30:03::	1	verb.change	1	1	1	1	1	1
9	grows	2:30:03::	1	verb.change	1	1	1	1	1	2
8	grow	2:30:00::	2	verb.change	1	0	1	1	1	3
37	grew	2:30:04::	5	verb.change	1	0	1	1	1	4
6	growing	2:29:00::	8	verb.body	1	0	0	1	1	5
15	grow	2:30:04::	5	verb.change	1	0	0	1	1	6
6	grew	2:30:03::	1	verb.change	1	0	0	1	1	7
8	growing	2:30:00::	2	verb.change	1	0	0	1	1	8
3	growing	2:30:03::	1	verb.change	1	0	0	1	1	9
8	growing	2:30:03::	1	verb.change	1	0	0	0	1	10
2	grows	2:30:00::	2	verb.change	1	0	0	0	1	11
10	grown	2:30:03::	1	verb.change	1	0	0	0	1	12
10	growing	2:30:02::	3	verb.change	1	0	0	0	1	13
16	grew	2:30:03::	1	verb.change	1	0	0	0	1	14
11	grew	2:30:03::	1	verb.change	1	0	0	0	1	15
6	growing	2:30:00::	2	verb.change	1	0	0	0	1	16
38	grew	2:30:03::	1	verb.change	1	0	0	0	1	17
4	grew	2:42:00::	6	verb.stative	1	0	0	0	1	18
13	growing	2:30:03::	1	verb.change	1	0	0	0	1	19
6	growing	2:30:00::	2	verb.change	1	0	0	0	0	20
11	grown	2:30:03::	1	verb.change	1	0	0	0	0	21
15	growing	2:30:03::	1	verb.change	1	0	0	0	0	22
17	growing	2:30:02::	3	verb.change	1	0	0	0	0	23
2	growing	2:30:00::	2	verb.change	1	0	0	0	0	24
22	growing	2:30:03::	1	verb.change	2	2	2	2	2	25
12	grows	2:30:02::	3	verb.change	2	2	2	2	2	26
23	grow	2:30:03::	1	verb.change	2	2	2	2	2	27
5	grew	2:30:00::	2	verb.change	2	0	2	2	2	28
6	grew	2:30:00::	2	verb.change	2	0	2	2	2	29
13	grow	2:30:02::	3	verb.change	2	0	0	2	2	30
10	grew	2:30:04::	5	verb.change	2	0	0	2	2	31
3	grew	2:30:03::	1	verb.change	2	0	0	2	2	32
10	grow	2:30:01::	4	verb.change	2	0	0	2	2	33
20	grow	2:30:02::	3	verb.change	2	0	0	2	2	34
19	grown	2:30:02::	3	verb.change	2	0	0	0	2	35
22	grew	2:30:03::	1	verb.change	2	0	0	0	2	36
26	grown	2:30:03::	1	verb.change	2	0	0	0	2	37
12	grow	2:30:02::	3	verb.change	2	0	0	0	2	38
7	growing	2:30:01::	4	verb.change	2	0	0	0	2	39
24	growing	2:30:02::	3	verb.change	2	0	0	0	2	40
15	grow	2:30:00::	2	verb.change	2	0	0	0	2	41
8	growing	2:30:00::	2	verb.change	2	0	0	0	2	42
12	grow	2:30:00::	2	verb.change	2	0	0	0	2	43
27	grew	2:30:02::	3	verb.change	2	0	0	0	2	44
13	grown	2:30:02::	3	verb.change	2	0	0	0	0	45
4	grow	2:30:02::	3	verb.change	2	0	0	0	0	46
15	growing	2:30:02::	3	verb.change	2	0	0	0	0	47
3	grows	2:30:00::	2	verb.change	2	0	0	0	0	48
2	grew	2:30:02::	3	verb.change	2	0	0	0	0	49
