position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	growth	1:22:00::	1	noun.process	1	1	1	1	1	0
17	growth	1:22:00::	1	noun.process	1	1	1	1	1	1
16	growth	1:22:01::	2	noun.process	1	1	1	1	1	2
23	growth	1:22:00::	1	noun.process	1	0	1	1	1	3
20	growth	1:22:00::	1	noun.process	1	0	1	1	1	4
1	growth	1:22:00::	1	noun.process	1	0	0	1	1	5
4	growth	1:14:00::	4	noun.group	1	0	0	1	1	6
16	growth	1:22:00::	1	noun.process	1	0	0	1	1	7
15	growth	1:22:00::	1	noun.process	1	0	0	1	1	8
29	growth	1:22:00::	1	noun.process	1	0	0	1	1	9
6	growth	1:22:00::	1	noun.process	1	0	0	0	1	10
15	growth	1:22:01::	2	noun.process	1	0	0	0	1	11
33	growth	1:22:01::	2	noun.process	1	0	0	0	1	12
11	growth	1:22:00::	1	noun.process	1	0	0	0	1	13
15	growth	1:22:00::	1	noun.process	1	0	0	0	1	14
5	growth	1:22:00::	1	noun.process	1	0	0	0	1	15
24	growth	1:22:00::	1	noun.process	1	0	0	0	1	16
22	growth	1:22:00::	1	noun.process	1	0	0	0	1	17
8	growth	1:22:01::	2	noun.process	1	0	0	0	1	18
34	growth	1:22:00::	1	noun.process	1	0	0	0	1	19
52	growth	1:22:01::	2	noun.process	1	0	0	0	0	20
29	growth	1:22:01::	2	noun.process	1	0	0	0	0	21
10	growth	1:22:02::	3	noun.process	1	0	0	0	0	22
12	growth	1:22:00::	1	noun.process	1	0	0	0	0	23
14	growth	1:22:00::	1	noun.process	1	0	0	0	0	24
1	growth	1:22:00::	1	noun.process	2	2	2	2	2	25
24	growth	1:22:01::	2	noun.process	2	2	2	2	2	26
1	growth	1:22:02::	3	noun.process	2	2	2	2	2	27
3	growth	1:22:00::	1	noun.process	2	0	2	2	2	28
19	growth	1:22:00::	1	noun.process	2	0	2	2	2	29
19	growth	1:22:01::	2	noun.process	2	0	0	2	2	30
23	growth	1:22:02::	3	noun.process	2	0	0	2	2	31
10	growth	1:22:00::	1	noun.process	2	0	0	2	2	32
54	growth	1:22:00::	1	noun.process	2	0	0	2	2	33
9	growth	1:22:00::	1	noun.process	2	0	0	2	2	34
1	growth	1:22:01::	2	noun.process	2	0	0	0	2	35
18	growth	1:22:01::	2	noun.process	2	0	0	0	2	36
13	growth	1:22:01::	2	noun.process	2	0	0	0	2	37
15	growth	1:22:00::	1	noun.process	2	0	0	0	2	38
4	growth	1:22:00::	1	noun.process	2	0	0	0	2	39
20	growth	1:22:01::	2	noun.process	2	0	0	0	2	40
17	growth	1:22:00::	1	noun.process	2	0	0	0	2	41
58	growth	1:22:00::	1	noun.process	2	0	0	0	2	42
23	growth	1:22:01::	2	noun.process	2	0	0	0	2	43
19	growth	1:22:00::	1	noun.process	2	0	0	0	2	44
11	growth	1:22:00::	1	noun.process	2	0	0	0	0	45
3	growth	1:22:01::	2	noun.process	2	0	0	0	0	46
15	growth	1:22:00::	1	noun.process	2	0	0	0	0	47
26	growth	1:22:00::	1	noun.process	2	0	0	0	0	48
40	growth	1:14:00::	4	noun.group	2	0	0	0	0	49
