position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
20	guessed	2:32:00::	2	verb.communication	1	1	1	1	1	0
8	guessing	2:32:00::	2	verb.communication	1	1	1	1	1	1
2	guess	2:31:00::	1	verb.cognition	1	1	1	1	1	2
4	guess	2:31:01::	3	verb.cognition	1	0	1	1	1	3
11	guess	2:31:00::	1	verb.cognition	1	0	1	1	1	4
35	guess	2:31:01::	3	verb.cognition	1	0	0	1	1	5
11	guessed	2:31:00::	1	verb.cognition	1	0	0	1	1	6
7	guess	2:31:00::	1	verb.cognition	1	0	0	1	1	7
7	guess	2:31:00::	1	verb.cognition	1	0	0	1	1	8
6	guess	2:31:00::	1	verb.cognition	1	0	0	1	1	9
1	guess	2:31:00::	1	verb.cognition	1	0	0	0	1	10
1	guessed	2:32:00::	2	verb.communication	1	0	0	0	1	11
2	guess	2:31:00::	1	verb.cognition	1	0	0	0	1	12
4	guessed	2:31:00::	1	verb.cognition	1	0	0	0	1	13
2	guess	2:31:00::	1	verb.cognition	1	0	0	0	1	14
2	guessed	2:31:00::	1	verb.cognition	1	0	0	0	1	15
9	guess	2:31:02::	4	verb.cognition	1	0	0	0	1	16
12	guess	2:31:00::	1	verb.cognition	1	0	0	0	1	17
1	guess	2:31:00::	1	verb.cognition	1	0	0	0	1	18
2	guess	2:31:00::	1	verb.cognition	1	0	0	0	1	19
2	guess	2:31:00::	1	verb.cognition	1	0	0	0	0	20
1	guessed	2:31:00::	1	verb.cognition	1	0	0	0	0	21
50	guessing	2:32:00::	2	verb.communication	1	0	0	0	0	22
20	guess	2:32:00::	2	verb.communication	1	0	0	0	0	23
3	guess	2:31:01::	3	verb.cognition	1	0	0	0	0	24
15	guessed	2:31:00::	1	verb.cognition	2	2	2	2	2	25
9	guess	2:31:00::	1	verb.cognition	2	2	2	2	2	26
5	guessed	2:31:01::	3	verb.cognition	2	2	2	2	2	27
8	guessing	2:32:00::	2	verb.communication	2	0	2	2	2	28
3	guess	2:31:01::	3	verb.cognition	2	0	2	2	2	29
6	guessed	2:31:02::	4	verb.cognition	2	0	0	2	2	30
28	guess	2:31:00::	1	verb.cognition	2	0	0	2	2	31
15	guessed	2:32:00::	2	verb.communication	2	0	0	2	2	32
4	guessed	2:31:02::	4	verb.cognition	2	0	0	2	2	33
2	guess	2:31:00::	1	verb.cognition	2	0	0	2	2	34
8	guess	2:31:00::	1	verb.cognition	2	0	0	0	2	35
8	guess	2:31:00::	1	verb.cognition	2	0	0	0	2	36
1	guess	2:31:00::	1	verb.cognition	2	0	0	0	2	37
3	guess	2:31:00::	1	verb.cognition	2	0	0	0	2	38
9	guess	2:31:00::	1	verb.cognition	2	0	0	0	2	39
12	guess	2:32:00::	2	verb.communication	2	0	0	0	2	40
4	guess	2:32:00::	2	verb.communication	2	0	0	0	2	41
23	guessing	2:32:00::	2	verb.communication	2	0	0	0	2	42
13	gay-ess	2:31:00::	1	verb.cognition	2	0	0	0	2	43
3	guess	2:31:02::	4	verb.cognition	2	0	0	0	2	44
12	guessed	2:31:00::	1	verb.cognition	2	0	0	0	0	45
5	guess	2:31:01::	3	verb.cognition	2	0	0	0	0	46
3	guessed	2:31:00::	1	verb.cognition	2	0	0	0	0	47
11	guess	2:31:02::	4	verb.cognition	2	0	0	0	0	48
1	guess	2:31:00::	1	verb.cognition	2	0	0	0	0	49
