position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	guns	1:06:00::	1	noun.artifact	1	1	1	1	1	0
7	gun	1:06:00::	1	noun.artifact	1	1	1	1	1	1
9	guns	1:06:00::	1	noun.artifact	1	1	1	1	1	2
13	gun	1:06:00::	1	noun.artifact	1	0	1	1	1	3
15	gun	1:06:00::	1	noun.artifact	1	0	1	1	1	4
3	gun	1:06:00::	1	noun.artifact	1	0	0	1	1	5
43	gun	1:06:00::	1	noun.artifact	1	0	0	1	1	6
5	gun	1:06:00::	1	noun.artifact	1	0	0	1	1	7
10	guns	1:06:00::	1	noun.artifact	1	0	0	1	1	8
17	gun	1:06:00::	1	noun.artifact	1	0	0	1	1	9
15	guns	1:06:00::	1	noun.artifact	1	0	0	0	1	10
3	gun	1:06:00::	1	noun.artifact	1	0	0	0	1	11
4	gun	1:06:00::	1	noun.artifact	1	0	0	0	1	12
32	guns	1:06:00::	1	noun.artifact	1	0	0	0	1	13
5	gun	1:06:00::	1	noun.artifact	1	0	0	0	1	14
1	gun	1:06:00::	1	noun.artifact	1	0	0	0	1	15
4	gun	1:06:00::	1	noun.artifact	1	0	0	0	1	16
13	gun	1:06:00::	1	noun.artifact	1	0	0	0	1	17
8	gun	1:06:00::	1	noun.artifact	1	0	0	0	1	18
18	gun	1:06:00::	1	noun.artifact	1	0	0	0	1	19
35	guns	1:06:00::	1	noun.artifact	1	0	0	0	0	20
5	gun	1:06:00::	1	noun.artifact	1	0	0	0	0	21
0	Guns	1:06:00::	1	noun.artifact	1	0	0	0	0	22
17	gun	1:06:00::	1	noun.artifact	1	0	0	0	0	23
11	gun	1:06:00::	1	noun.artifact	1	0	0	0	0	24
19	guns	1:06:00::	1	noun.artifact	2	2	2	2	2	25
12	gun	1:06:00::	1	noun.artifact	2	2	2	2	2	26
3	gun	1:06:00::	1	noun.artifact	2	2	2	2	2	27
22	gun	1:06:00::	1	noun.artifact	2	0	2	2	2	28
10	gun	1:06:00::	1	noun.artifact	2	0	2	2	2	29
8	gun	1:06:00::	1	noun.artifact	2	0	0	2	2	30
12	gun	1:06:00::	1	noun.artifact	2	0	0	2	2	31
12	gun	1:06:00::	1	noun.artifact	2	0	0	2	2	32
17	guns	1:06:00::	1	noun.artifact	2	0	0	2	2	33
11	gun	1:06:00::	1	noun.artifact	2	0	0	2	2	34
2	gun	1:06:00::	1	noun.artifact	2	0	0	0	2	35
3	guns	1:06:00::	1	noun.artifact	2	0	0	0	2	36
33	gun	1:06:00::	1	noun.artifact	2	0	0	0	2	37
18	guns	1:06:00::	1	noun.artifact	2	0	0	0	2	38
2	gun	1:06:00::	1	noun.artifact	2	0	0	0	2	39
12	gun	1:06:00::	1	noun.artifact	2	0	0	0	2	40
12	gun	1:06:00::	1	noun.artifact	2	0	0	0	2	41
5	gun	1:06:00::	1	noun.artifact	2	0	0	0	2	42
9	gun	1:06:00::	1	noun.artifact	2	0	0	0	2	43
4	guns	1:06:00::	1	noun.artifact	2	0	0	0	2	44
6	gun	1:06:00::	1	noun.artifact	2	0	0	0	0	45
4	guns	1:06:00::	1	noun.artifact	2	0	0	0	0	46
3	guns	1:06:00::	1	noun.artifact	2	0	0	0	0	47
15	gun	1:06:00::	1	noun.artifact	2	0	0	0	0	48
16	gun	1:06:00::	1	noun.artifact	2	0	0	0	0	49
