position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
10	hair	1:08:00::	1	noun.body	1	1	1	1	1	0
5	hair	1:08:00::	1	noun.body	1	1	1	1	1	1
23	hair	1:08:00::	1	noun.body	1	1	1	1	1	2
21	hairs	1:08:00::	1	noun.body	1	0	1	1	1	3
56	hair	1:08:00::	1	noun.body	1	0	1	1	1	4
32	hair	1:08:00::	1	noun.body	1	0	0	1	1	5
2	hair	1:08:00::	1	noun.body	1	0	0	1	1	6
9	hairs	1:08:00::	1	noun.body	1	0	0	1	1	7
8	hair	1:08:00::	1	noun.body	1	0	0	1	1	8
6	hair	1:08:00::	1	noun.body	1	0	0	1	1	9
25	hair	1:08:00::	1	noun.body	1	0	0	0	1	10
8	hair	1:08:00::	1	noun.body	1	0	0	0	1	11
5	hair	1:08:00::	1	noun.body	1	0	0	0	1	12
5	hair	1:08:00::	1	noun.body	1	0	0	0	1	13
11	hair	1:08:00::	1	noun.body	1	0	0	0	1	14
28	hair	1:08:00::	1	noun.body	1	0	0	0	1	15
4	hairs	1:08:00::	1	noun.body	1	0	0	0	1	16
13	hairs	1:08:00::	1	noun.body	1	0	0	0	1	17
16	hair	1:08:00::	1	noun.body	1	0	0	0	1	18
1	hair	1:08:00::	1	noun.body	1	0	0	0	1	19
7	hair	1:08:00::	1	noun.body	1	0	0	0	0	20
16	hair	1:08:00::	1	noun.body	1	0	0	0	0	21
10	hair	1:08:00::	1	noun.body	1	0	0	0	0	22
5	hair	1:08:00::	1	noun.body	1	0	0	0	0	23
13	hair	1:08:00::	1	noun.body	1	0	0	0	0	24
27	hair	1:08:00::	1	noun.body	2	2	2	2	2	25
17	hair	1:08:00::	1	noun.body	2	2	2	2	2	26
4	hair	1:08:00::	1	noun.body	2	2	2	2	2	27
28	hair	1:08:00::	1	noun.body	2	0	2	2	2	28
26	hair	1:08:00::	1	noun.body	2	0	2	2	2	29
31	hair	1:08:00::	1	noun.body	2	0	0	2	2	30
10	hair	1:08:00::	1	noun.body	2	0	0	2	2	31
38	hair	1:08:00::	1	noun.body	2	0	0	2	2	32
1	hair	1:08:00::	1	noun.body	2	0	0	2	2	33
16	hair	1:08:00::	1	noun.body	2	0	0	2	2	34
5	hair	1:08:00::	1	noun.body	2	0	0	0	2	35
8	hair	1:08:00::	1	noun.body	2	0	0	0	2	36
41	hair	1:08:00::	1	noun.body	2	0	0	0	2	37
25	hair	1:08:00::	1	noun.body	2	0	0	0	2	38
8	hair	1:08:00::	1	noun.body	2	0	0	0	2	39
24	hair	1:08:00::	1	noun.body	2	0	0	0	2	40
2	hair	1:08:00::	1	noun.body	2	0	0	0	2	41
6	hair	1:08:00::	1	noun.body	2	0	0	0	2	42
16	hair	1:08:00::	1	noun.body	2	0	0	0	2	43
1	hair	1:08:00::	1	noun.body	2	0	0	0	2	44
7	hair	1:08:00::	1	noun.body	2	0	0	0	0	45
7	hair	1:08:00::	1	noun.body	2	0	0	0	0	46
18	hair	1:08:00::	1	noun.body	2	0	0	0	0	47
10	hair	1:08:00::	1	noun.body	2	0	0	0	0	48
15	hair	1:08:00::	1	noun.body	2	0	0	0	0	49
