position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
9	hand	1:08:00::	1	noun.body	1	1	1	1	1	0
30	hand	1:10:00::	3	noun.communication	1	1	1	1	1	1
3	hands	1:08:00::	1	noun.body	1	1	1	1	1	2
10	hands	1:08:00::	1	noun.body	1	0	1	1	1	3
26	hands	1:08:00::	1	noun.body	1	0	1	1	1	4
16	hand	1:08:00::	1	noun.body	1	0	0	1	1	5
42	hands	1:08:00::	1	noun.body	1	0	0	1	1	6
16	hands	1:14:00::	6	noun.group	1	0	0	1	1	7
3	hand	1:08:00::	1	noun.body	1	0	0	1	1	8
17	hand	1:08:00::	1	noun.body	1	0	0	1	1	9
7	hands	1:08:00::	1	noun.body	1	0	0	0	1	10
14	hand	1:08:00::	1	noun.body	1	0	0	0	1	11
15	hand	1:08:00::	1	noun.body	1	0	0	0	1	12
11	hand	1:08:00::	1	noun.body	1	0	0	0	1	13
18	hands	1:08:00::	1	noun.body	1	0	0	0	1	14
8	hands	1:08:00::	1	noun.body	1	0	0	0	1	15
16	Hand	1:08:00::	1	noun.body	1	0	0	0	1	16
12	hand	1:08:00::	1	noun.body	1	0	0	0	1	17
15	hands	1:08:00::	1	noun.body	1	0	0	0	1	18
7	hand	1:06:00::	8	noun.artifact	1	0	0	0	1	19
11	hand	1:15:00::	5	noun.location	1	0	0	0	0	20
10	hand	1:08:00::	1	noun.body	1	0	0	0	0	21
2	hands	1:08:00::	1	noun.body	1	0	0	0	0	22
12	hand	1:08:00::	1	noun.body	1	0	0	0	0	23
9	hands	1:08:00::	1	noun.body	1	0	0	0	0	24
15	hand	1:08:00::	1	noun.body	2	2	2	2	2	25
14	hands	1:08:00::	1	noun.body	2	2	2	2	2	26
14	hands	1:08:00::	1	noun.body	2	2	2	2	2	27
5	hand	1:08:00::	1	noun.body	2	0	2	2	2	28
0	Hands	1:08:00::	1	noun.body	2	0	2	2	2	29
16	hand	1:08:00::	1	noun.body	2	0	0	2	2	30
3	hands	1:08:00::	1	noun.body	2	0	0	2	2	31
3	hand	1:08:00::	1	noun.body	2	0	0	2	2	32
8	hand	1:08:00::	1	noun.body	2	0	0	2	2	33
4	hands	1:08:00::	1	noun.body	2	0	0	2	2	34
17	hands	1:08:00::	1	noun.body	2	0	0	0	2	35
14	hand	1:15:00::	5	noun.location	2	0	0	0	2	36
15	hands	1:08:00::	1	noun.body	2	0	0	0	2	37
19	hand	1:08:00::	1	noun.body	2	0	0	0	2	38
15	hand	1:08:00::	1	noun.body	2	0	0	0	2	39
13	hand	1:08:00::	1	noun.body	2	0	0	0	2	40
37	hand	1:09:00::	4	noun.cognition	2	0	0	0	2	41
1	hands	1:08:00::	1	noun.body	2	0	0	0	2	42
7	Hand	1:08:00::	1	noun.body	2	0	0	0	2	43
3	hand	1:08:00::	1	noun.body	2	0	0	0	2	44
11	hands	1:08:00::	1	noun.body	2	0	0	0	0	45
1	hands	1:18:00::	2	noun.person	2	0	0	0	0	46
4	hands	1:08:00::	1	noun.body	2	0	0	0	0	47
27	hand	1:08:00::	1	noun.body	2	0	0	0	0	48
5	hands	1:08:00::	1	noun.body	2	0	0	0	0	49
