position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
9	handle	2:41:03::	2	verb.social	1	1	1	1	1	0
4	handling	2:41:03::	2	verb.social	1	1	1	1	1	1
12	handled	2:32:00::	3	verb.communication	1	1	1	1	1	2
13	handled	2:35:00::	4	verb.contact	1	0	1	1	1	3
20	handle	2:41:00::	1	verb.social	1	0	1	1	1	4
31	handled	2:35:00::	4	verb.contact	1	0	0	1	1	5
4	handle	2:41:00::	1	verb.social	1	0	0	1	1	6
23	handle	2:41:00::	1	verb.social	1	0	0	1	1	7
6	handled	2:41:00::	1	verb.social	1	0	0	1	1	8
3	handling	2:41:00::	1	verb.social	1	0	0	1	1	9
12	handle	2:41:00::	1	verb.social	1	0	0	0	1	10
40	handled	2:41:00::	1	verb.social	1	0	0	0	1	11
9	handled	2:41:03::	2	verb.social	1	0	0	0	1	12
5	handled	2:32:00::	3	verb.communication	1	0	0	0	1	13
10	handle	2:41:03::	2	verb.social	1	0	0	0	1	14
19	handling	2:41:00::	1	verb.social	1	0	0	0	1	15
4	handling	2:41:00::	1	verb.social	1	0	0	0	1	16
15	handle	2:41:03::	2	verb.social	1	0	0	0	1	17
3	handles	2:41:00::	1	verb.social	1	0	0	0	1	18
30	handled	2:41:00::	1	verb.social	1	0	0	0	1	19
5	handled	2:41:03::	2	verb.social	1	0	0	0	0	20
10	handled	2:41:03::	2	verb.social	1	0	0	0	0	21
8	handle	2:41:00::	1	verb.social	1	0	0	0	0	22
5	handled	2:41:00::	1	verb.social	1	0	0	0	0	23
1	handled	2:41:03::	2	verb.social	1	0	0	0	0	24
28	handle	2:41:00::	1	verb.social	2	2	2	2	2	25
1	handles	2:41:00::	1	verb.social	2	2	2	2	2	26
6	handle	2:41:03::	2	verb.social	2	2	2	2	2	27
16	handled	2:41:00::	1	verb.social	2	0	2	2	2	28
16	handling	2:41:00::	1	verb.social	2	0	2	2	2	29
22	handled	2:41:03::	2	verb.social	2	0	0	2	2	30
10	handling	2:41:00::	1	verb.social	2	0	0	2	2	31
19	handled	2:41:00::	1	verb.social	2	0	0	2	2	32
33	handled	2:32:00::	3	verb.communication	2	0	0	2	2	33
17	handles	2:41:00::	1	verb.social	2	0	0	2	2	34
5	handled	2:41:00::	1	verb.social	2	0	0	0	2	35
8	handled	2:41:00::	1	verb.social	2	0	0	0	2	36
13	handle	2:41:00::	1	verb.social	2	0	0	0	2	37
17	handle	2:41:00::	1	verb.social	2	0	0	0	2	38
5	handled	2:41:00::	1	verb.social	2	0	0	0	2	39
2	handles	2:41:00::	1	verb.social	2	0	0	0	2	40
8	handle	2:41:00::	1	verb.social	2	0	0	0	2	41
3	handles	2:41:00::	1	verb.social	2	0	0	0	2	42
10	handle	2:41:00::	1	verb.social	2	0	0	0	2	43
25	handle	2:41:00::	1	verb.social	2	0	0	0	2	44
3	handles	2:41:00::	1	verb.social	2	0	0	0	0	45
21	handling	2:32:00::	3	verb.communication	2	0	0	0	0	46
10	handle	2:41:00::	1	verb.social	2	0	0	0	0	47
8	handle	2:41:00::	1	verb.social	2	0	0	0	0	48
10	handle	2:41:03::	2	verb.social	2	0	0	0	0	49
