position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
15	hanged	2:35:00::	2	verb.contact	1	1	1	1	1	0
6	hung	2:35:03::	1	verb.contact	1	1	1	1	1	1
21	hung	2:35:03::	1	verb.contact	1	1	1	1	1	2
9	hanged	2:41:00::	3	verb.social	1	0	1	1	1	3
6	hanged	2:41:00::	3	verb.social	1	0	1	1	1	4
0	Hanging	2:41:00::	3	verb.social	1	0	0	1	1	5
4	hung	2:35:00::	2	verb.contact	1	0	0	1	1	6
2	hung	2:35:03::	1	verb.contact	1	0	0	1	1	7
9	hung	2:35:00::	2	verb.contact	1	0	0	1	1	8
15	hung	2:35:00::	2	verb.contact	1	0	0	1	1	9
16	hung	2:35:03::	1	verb.contact	1	0	0	0	1	10
7	hung	2:35:03::	1	verb.contact	1	0	0	0	1	11
20	hung	2:35:00::	2	verb.contact	1	0	0	0	1	12
2	hung	2:35:02::	5	verb.contact	1	0	0	0	1	13
6	hung	2:38:03::	4	verb.motion	1	0	0	0	1	14
37	hang	2:35:03::	1	verb.contact	1	0	0	0	1	15
5	hang	2:41:00::	3	verb.social	1	0	0	0	1	16
12	hanged	2:41:00::	3	verb.social	1	0	0	0	1	17
8	hang	2:35:00::	2	verb.contact	1	0	0	0	1	18
28	hanging	2:35:03::	1	verb.contact	1	0	0	0	1	19
1	Hang	2:35:02::	5	verb.contact	1	0	0	0	0	20
24	hung	2:35:03::	1	verb.contact	1	0	0	0	0	21
8	hanged	2:41:00::	3	verb.social	1	0	0	0	0	22
15	hung	2:35:03::	1	verb.contact	1	0	0	0	0	23
25	hanging	2:35:03::	1	verb.contact	1	0	0	0	0	24
15	hang	2:41:00::	3	verb.social	2	2	2	2	2	25
81	hanging	2:42:00::	6	verb.stative	2	2	2	2	2	26
27	hung	2:35:00::	2	verb.contact	2	2	2	2	2	27
24	hang	2:35:00::	2	verb.contact	2	0	2	2	2	28
17	hung	2:35:02::	5	verb.contact	2	0	2	2	2	29
4	hung	2:35:03::	1	verb.contact	2	0	0	2	2	30
0	hung	2:35:03::	1	verb.contact	2	0	0	2	2	31
9	hung	2:35:03::	1	verb.contact	2	0	0	2	2	32
1	hang	2:41:00::	3	verb.social	2	0	0	2	2	33
2	hung	2:38:03::	4	verb.motion	2	0	0	2	2	34
31	hung	2:35:02::	5	verb.contact	2	0	0	0	2	35
14	hanging	2:35:03::	1	verb.contact	2	0	0	0	2	36
24	hang	2:41:00::	3	verb.social	2	0	0	0	2	37
28	hung	2:35:03::	1	verb.contact	2	0	0	0	2	38
1	hung	2:35:03::	1	verb.contact	2	0	0	0	2	39
3	hung	2:35:03::	1	verb.contact	2	0	0	0	2	40
22	hang	2:35:03::	1	verb.contact	2	0	0	0	2	41
36	hung	2:35:03::	1	verb.contact	2	0	0	0	2	42
7	hung	2:35:03::	1	verb.contact	2	0	0	0	2	43
10	hung	2:35:00::	2	verb.contact	2	0	0	0	2	44
5	hung	2:39:00::	7	verb.perception	2	0	0	0	0	45
16	hung	2:41:00::	3	verb.social	2	0	0	0	0	46
1	hung	2:35:03::	1	verb.contact	2	0	0	0	0	47
2	hung	2:35:03::	1	verb.contact	2	0	0	0	0	48
7	hung	2:35:00::	2	verb.contact	2	0	0	0	0	49
