position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
19	happen	2:30:00::	1	verb.change	1	1	1	1	1	0
15	happened	2:30:00::	1	verb.change	1	1	1	1	1	1
4	happened	2:30:00::	1	verb.change	1	1	1	1	1	2
3	happened	2:30:00::	1	verb.change	1	0	1	1	1	3
4	happens	2:30:00::	1	verb.change	1	0	1	1	1	4
5	happen	2:30:00::	1	verb.change	1	0	0	1	1	5
2	happened	2:30:00::	1	verb.change	1	0	0	1	1	6
27	happened	2:30:00::	1	verb.change	1	0	0	1	1	7
6	happened	2:30:00::	1	verb.change	1	0	0	1	1	8
9	happens	2:30:00::	1	verb.change	1	0	0	1	1	9
8	happened	2:41:00::	3	verb.social	1	0	0	0	1	10
14	happened	2:30:00::	1	verb.change	1	0	0	0	1	11
19	happen	2:30:00::	1	verb.change	1	0	0	0	1	12
7	happened	2:30:00::	1	verb.change	1	0	0	0	1	13
40	happened	2:30:02::	2	verb.change	1	0	0	0	1	14
6	happened	2:30:00::	1	verb.change	1	0	0	0	1	15
18	happen	2:30:00::	1	verb.change	1	0	0	0	1	16
6	happened	2:30:00::	1	verb.change	1	0	0	0	1	17
1	happens	2:30:01::	4	verb.change	1	0	0	0	1	18
1	happened	2:30:02::	2	verb.change	1	0	0	0	1	19
2	happened	2:30:00::	1	verb.change	1	0	0	0	0	20
3	happened	2:30:00::	1	verb.change	1	0	0	0	0	21
2	happened	2:30:00::	1	verb.change	1	0	0	0	0	22
11	happen	2:30:02::	2	verb.change	1	0	0	0	0	23
15	happens	2:41:00::	3	verb.social	1	0	0	0	0	24
30	happened	2:30:00::	1	verb.change	2	2	2	2	2	25
4	happen	2:30:00::	1	verb.change	2	2	2	2	2	26
10	happens	2:30:00::	1	verb.change	2	2	2	2	2	27
14	happen	2:41:00::	3	verb.social	2	0	2	2	2	28
17	happened	2:41:00::	3	verb.social	2	0	2	2	2	29
12	happens	2:30:00::	1	verb.change	2	0	0	2	2	30
28	happens	2:41:00::	3	verb.social	2	0	0	2	2	31
12	happened	2:30:00::	1	verb.change	2	0	0	2	2	32
6	happens	2:30:00::	1	verb.change	2	0	0	2	2	33
43	happened	2:30:00::	1	verb.change	2	0	0	2	2	34
3	happened	2:30:00::	1	verb.change	2	0	0	0	2	35
3	happen	2:30:00::	1	verb.change	2	0	0	0	2	36
4	happened	2:30:00::	1	verb.change	2	0	0	0	2	37
55	happen	2:30:00::	1	verb.change	2	0	0	0	2	38
3	happen	2:30:00::	1	verb.change	2	0	0	0	2	39
6	happened	2:30:02::	2	verb.change	2	0	0	0	2	40
2	happened	2:30:00::	1	verb.change	2	0	0	0	2	41
6	happen	2:30:01::	4	verb.change	2	0	0	0	2	42
43	happen	2:30:02::	2	verb.change	2	0	0	0	2	43
36	happened	2:30:01::	4	verb.change	2	0	0	0	2	44
6	happen	2:30:00::	1	verb.change	2	0	0	0	0	45
6	happen	2:30:00::	1	verb.change	2	0	0	0	0	46
3	happen	2:30:00::	1	verb.change	2	0	0	0	0	47
12	happened	2:30:00::	1	verb.change	2	0	0	0	0	48
13	happens	2:41:00::	3	verb.social	2	0	0	0	0	49
