position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
7	harder	3:00:06::	1	adj.all	1	1	1	1	1	0
3	hardest	3:00:06::	1	adj.all	1	1	1	1	1	1
7	hard	3:00:06::	1	adj.all	1	1	1	1	1	2
5	hard	3:00:01::	3	adj.all	1	0	1	1	1	3
8	hard	5:00:01:effortful:00	5	adj.all	1	0	1	1	1	4
10	hard	3:00:02::	2	adj.all	1	0	0	1	1	5
86	hard	3:00:06::	1	adj.all	1	0	0	1	1	6
6	hard	3:00:01::	3	adj.all	1	0	0	1	1	7
7	hard	3:00:02::	2	adj.all	1	0	0	1	1	8
6	hard	3:00:06::	1	adj.all	1	0	0	1	1	9
3	hard	3:00:02::	2	adj.all	1	0	0	0	1	10
5	hard	3:00:06::	1	adj.all	1	0	0	0	1	11
3	hard	3:00:06::	1	adj.all	1	0	0	0	1	12
13	hard	3:00:01::	3	adj.all	1	0	0	0	1	13
15	hard	3:00:02::	2	adj.all	1	0	0	0	1	14
17	hard	3:00:06::	1	adj.all	1	0	0	0	1	15
22	hard	3:00:06::	1	adj.all	1	0	0	0	1	16
31	hard	3:00:06::	1	adj.all	1	0	0	0	1	17
2	hard	3:00:06::	1	adj.all	1	0	0	0	1	18
4	hardest	3:00:06::	1	adj.all	1	0	0	0	1	19
20	hard	3:00:06::	1	adj.all	1	0	0	0	0	20
3	hard	5:00:00:strong:00	4	adj.all	1	0	0	0	0	21
0	Hard	5:00:01:effortful:00	5	adj.all	1	0	0	0	0	22
10	hard	3:00:06::	1	adj.all	1	0	0	0	0	23
6	hard	5:00:01:effortful:00	5	adj.all	1	0	0	0	0	24
6	hard	3:00:02::	2	adj.all	2	2	2	2	2	25
3	hard	3:00:01::	3	adj.all	2	2	2	2	2	26
2	hard	3:00:02::	2	adj.all	2	2	2	2	2	27
3	harder	3:00:06::	1	adj.all	2	0	2	2	2	28
10	hard	3:00:02::	2	adj.all	2	0	2	2	2	29
21	harder	3:00:06::	1	adj.all	2	0	0	2	2	30
15	hard	3:00:02::	2	adj.all	2	0	0	2	2	31
12	hard	3:00:06::	1	adj.all	2	0	0	2	2	32
4	harder	5:00:00:strong:00	4	adj.all	2	0	0	2	2	33
15	hard	3:00:01::	3	adj.all	2	0	0	2	2	34
58	hard	3:00:01::	3	adj.all	2	0	0	0	2	35
7	hard	3:00:01::	3	adj.all	2	0	0	0	2	36
4	hard	3:00:02::	2	adj.all	2	0	0	0	2	37
10	hard	3:00:01::	3	adj.all	2	0	0	0	2	38
3	hard	3:00:02::	2	adj.all	2	0	0	0	2	39
1	hard	3:00:01::	3	adj.all	2	0	0	0	2	40
3	hard	3:00:06::	1	adj.all	2	0	0	0	2	41
8	hard	3:00:06::	1	adj.all	2	0	0	0	2	42
18	harder	3:00:06::	1	adj.all	2	0	0	0	2	43
9	hardest	3:00:02::	2	adj.all	2	0	0	0	2	44
21	hard	3:00:06::	1	adj.all	2	0	0	0	0	45
28	hard	3:00:01::	3	adj.all	2	0	0	0	0	46
22	hard	3:00:06::	1	adj.all	2	0	0	0	0	47
19	hard	3:00:06::	1	adj.all	2	0	0	0	0	48
5	hard	3:00:06::	1	adj.all	2	0	0	0	0	49
