position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	head	1:08:00::	1	noun.body	1	1	1	1	1	0
3	head	1:08:00::	1	noun.body	1	1	1	1	1	1
5	head	1:08:00::	1	noun.body	1	1	1	1	1	2
12	head	1:18:00::	4	noun.person	1	0	1	1	1	3
33	head	1:08:00::	1	noun.body	1	0	1	1	1	4
1	head	1:08:00::	1	noun.body	1	0	0	1	1	5
3	head	1:08:00::	1	noun.body	1	0	0	1	1	6
13	heads	1:08:00::	1	noun.body	1	0	0	1	1	7
8	head	1:08:00::	1	noun.body	1	0	0	1	1	8
5	head	1:08:00::	1	noun.body	1	0	0	1	1	9
5	head	1:08:00::	1	noun.body	1	0	0	0	1	10
23	head	1:08:00::	1	noun.body	1	0	0	0	1	11
3	head	1:08:00::	1	noun.body	1	0	0	0	1	12
32	head	1:08:00::	1	noun.body	1	0	0	0	1	13
11	head	1:08:00::	1	noun.body	1	0	0	0	1	14
37	head	1:08:00::	1	noun.body	1	0	0	0	1	15
21	head	1:08:00::	1	noun.body	1	0	0	0	1	16
11	head	1:08:00::	1	noun.body	1	0	0	0	1	17
4	head	1:08:00::	1	noun.body	1	0	0	0	1	18
11	head	1:08:00::	1	noun.body	1	0	0	0	1	19
19	head	1:08:00::	1	noun.body	1	0	0	0	0	20
3	head	1:08:00::	1	noun.body	1	0	0	0	0	21
8	head	1:08:00::	1	noun.body	1	0	0	0	0	22
9	head	1:08:00::	1	noun.body	1	0	0	0	0	23
19	head	1:10:03::	9	noun.communication	1	0	0	0	0	24
23	head	1:05:00::	2	noun.animal	2	2	2	2	2	25
22	head	1:05:00::	2	noun.animal	2	2	2	2	2	26
12	head	1:05:00::	2	noun.animal	2	2	2	2	2	27
6	head	1:09:00::	3	noun.cognition	2	0	2	2	2	28
47	heads	1:09:00::	3	noun.cognition	2	0	2	2	2	29
6	head	1:05:00::	2	noun.animal	2	0	0	2	2	30
7	head	1:05:00::	2	noun.animal	2	0	0	2	2	31
15	head	1:09:00::	3	noun.cognition	2	0	0	2	2	32
7	head	1:05:00::	2	noun.animal	2	0	0	2	2	33
18	head	1:05:00::	2	noun.animal	2	0	0	2	2	34
8	head	1:15:00::	7	noun.location	2	0	0	0	2	35
4	head	1:05:00::	2	noun.animal	2	0	0	0	2	36
5	head	1:05:00::	2	noun.animal	2	0	0	0	2	37
3	head	1:05:00::	2	noun.animal	2	0	0	0	2	38
16	head	1:05:00::	2	noun.animal	2	0	0	0	2	39
14	head	1:05:00::	2	noun.animal	2	0	0	0	2	40
14	head	1:05:00::	2	noun.animal	2	0	0	0	2	41
14	head	1:05:00::	2	noun.animal	2	0	0	0	2	42
8	head	1:05:00::	2	noun.animal	2	0	0	0	2	43
4	head	1:05:00::	2	noun.animal	2	0	0	0	2	44
9	head	1:05:00::	2	noun.animal	2	0	0	0	0	45
7	head	1:05:00::	2	noun.animal	2	0	0	0	0	46
29	head	1:09:00::	3	noun.cognition	2	0	0	0	0	47
9	head	1:09:00::	3	noun.cognition	2	0	0	0	0	48
6	head	1:09:00::	3	noun.cognition	2	0	0	0	0	49
