position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
1	heads	2:41:00::	2	verb.social	1	1	1	1	1	0
2	headed	2:38:00::	1	verb.motion	1	1	1	1	1	1
4	headed	2:38:02::	3	verb.motion	1	1	1	1	1	2
10	headed	2:38:00::	1	verb.motion	1	0	1	1	1	3
23	headed	2:41:00::	2	verb.social	1	0	1	1	1	4
9	head	2:38:00::	1	verb.motion	1	0	0	1	1	5
9	headed	2:38:01::	5	verb.motion	1	0	0	1	1	6
1	headed	2:38:00::	1	verb.motion	1	0	0	1	1	7
28	heads	2:41:00::	2	verb.social	1	0	0	1	1	8
2	headed	2:41:00::	2	verb.social	1	0	0	1	1	9
6	headed	2:38:00::	1	verb.motion	1	0	0	0	1	10
4	headed	2:38:02::	3	verb.motion	1	0	0	0	1	11
15	headed	2:38:00::	1	verb.motion	1	0	0	0	1	12
7	headed	2:38:00::	1	verb.motion	1	0	0	0	1	13
6	headed	2:41:00::	2	verb.social	1	0	0	0	1	14
4	headed	2:41:00::	2	verb.social	1	0	0	0	1	15
4	heading	2:38:00::	1	verb.motion	1	0	0	0	1	16
17	headed	2:41:00::	2	verb.social	1	0	0	0	1	17
13	headed	2:41:00::	2	verb.social	1	0	0	0	1	18
5	heading	2:38:00::	1	verb.motion	1	0	0	0	1	19
31	headed	2:42:01::	4	verb.stative	1	0	0	0	0	20
25	head	2:38:01::	5	verb.motion	1	0	0	0	0	21
16	heading	2:38:00::	1	verb.motion	1	0	0	0	0	22
26	headed	2:38:00::	1	verb.motion	1	0	0	0	0	23
8	heading	2:38:00::	1	verb.motion	1	0	0	0	0	24
32	head	2:38:00::	1	verb.motion	2	2	2	2	2	25
9	headed	2:38:00::	1	verb.motion	2	2	2	2	2	26
7	head	2:41:00::	2	verb.social	2	2	2	2	2	27
22	headed	2:41:00::	2	verb.social	2	0	2	2	2	28
30	headed	2:38:00::	1	verb.motion	2	0	2	2	2	29
7	headed	2:41:00::	2	verb.social	2	0	0	2	2	30
16	heading	2:38:00::	1	verb.motion	2	0	0	2	2	31
4	headed	2:41:00::	2	verb.social	2	0	0	2	2	32
3	headed	2:41:00::	2	verb.social	2	0	0	2	2	33
5	headed	2:38:00::	1	verb.motion	2	0	0	2	2	34
17	headed	2:38:00::	1	verb.motion	2	0	0	0	2	35
7	heading	2:38:00::	1	verb.motion	2	0	0	0	2	36
3	head	2:41:00::	2	verb.social	2	0	0	0	2	37
3	headed	2:38:00::	1	verb.motion	2	0	0	0	2	38
45	headed	2:42:01::	4	verb.stative	2	0	0	0	2	39
26	head	2:38:00::	1	verb.motion	2	0	0	0	2	40
12	headed	2:38:00::	1	verb.motion	2	0	0	0	2	41
0	Heading	2:38:00::	1	verb.motion	2	0	0	0	2	42
69	headed	2:38:00::	1	verb.motion	2	0	0	0	2	43
20	headed	2:38:00::	1	verb.motion	2	0	0	0	2	44
9	head	2:38:00::	1	verb.motion	2	0	0	0	0	45
26	head	2:38:00::	1	verb.motion	2	0	0	0	0	46
3	headed	2:41:00::	2	verb.social	2	0	0	0	0	47
25	headed	2:41:00::	2	verb.social	2	0	0	0	0	48
10	head	2:41:00::	2	verb.social	2	0	0	0	0	49
