position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
6	hearing	2:39:00::	1	verb.perception	1	1	1	1	1	0
3	heard	2:39:00::	1	verb.perception	1	1	1	1	1	1
19	hear	2:39:00::	1	verb.perception	1	1	1	1	1	2
37	heard	2:31:00::	2	verb.cognition	1	0	1	1	1	3
3	heard	2:39:00::	1	verb.perception	1	0	1	1	1	4
2	hear	2:39:00::	1	verb.perception	1	0	0	1	1	5
19	hearing	2:39:00::	1	verb.perception	1	0	0	1	1	6
12	hear	2:31:00::	2	verb.cognition	1	0	0	1	1	7
18	hear	2:39:00::	1	verb.perception	1	0	0	1	1	8
5	heard	2:39:00::	1	verb.perception	1	0	0	1	1	9
10	hear	2:39:00::	1	verb.perception	1	0	0	0	1	10
5	heard	2:39:00::	1	verb.perception	1	0	0	0	1	11
12	hears	2:39:00::	1	verb.perception	1	0	0	0	1	12
4	hear	2:31:00::	2	verb.cognition	1	0	0	0	1	13
15	heard	2:39:00::	1	verb.perception	1	0	0	0	1	14
3	heard	2:31:00::	2	verb.cognition	1	0	0	0	1	15
2	heard	2:39:00::	1	verb.perception	1	0	0	0	1	16
9	hear	2:31:00::	2	verb.cognition	1	0	0	0	1	17
3	heard	2:39:00::	1	verb.perception	1	0	0	0	1	18
17	hear	2:39:00::	1	verb.perception	1	0	0	0	1	19
7	hear	2:31:00::	2	verb.cognition	1	0	0	0	0	20
11	hearing	2:41:00::	3	verb.social	1	0	0	0	0	21
2	hear	2:39:00::	1	verb.perception	1	0	0	0	0	22
45	hearing	2:39:00::	1	verb.perception	1	0	0	0	0	23
1	heard	2:39:00::	1	verb.perception	1	0	0	0	0	24
2	heard	2:39:00::	1	verb.perception	2	2	2	2	2	25
3	heard	2:39:00::	1	verb.perception	2	2	2	2	2	26
10	heard	2:31:00::	2	verb.cognition	2	2	2	2	2	27
14	heard	2:39:00::	1	verb.perception	2	0	2	2	2	28
2	heard	2:39:00::	1	verb.perception	2	0	2	2	2	29
2	heard	2:39:00::	1	verb.perception	2	0	0	2	2	30
20	heard	2:39:00::	1	verb.perception	2	0	0	2	2	31
9	heard	2:39:00::	1	verb.perception	2	0	0	2	2	32
1	hear	2:39:00::	1	verb.perception	2	0	0	2	2	33
9	heard	2:39:00::	1	verb.perception	2	0	0	2	2	34
14	heard	2:39:00::	1	verb.perception	2	0	0	0	2	35
10	hear	2:39:00::	1	verb.perception	2	0	0	0	2	36
12	hear	2:39:00::	1	verb.perception	2	0	0	0	2	37
7	hear	2:31:00::	2	verb.cognition	2	0	0	0	2	38
2	hear	2:39:00::	1	verb.perception	2	0	0	0	2	39
7	hear	2:39:00::	1	verb.perception	2	0	0	0	2	40
7	hear	2:39:00::	1	verb.perception	2	0	0	0	2	41
32	heard	2:39:00::	1	verb.perception	2	0	0	0	2	42
1	hear	2:31:00::	2	verb.cognition	2	0	0	0	2	43
9	heard	2:39:00::	1	verb.perception	2	0	0	0	2	44
18	hear	2:39:00::	1	verb.perception	2	0	0	0	0	45
33	heard	2:39:00::	1	verb.perception	2	0	0	0	0	46
33	heard	2:31:00::	2	verb.cognition	2	0	0	0	0	47
2	heard	2:41:00::	3	verb.social	2	0	0	0	0	48
1	hear	2:39:00::	1	verb.perception	2	0	0	0	0	49
