position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
4	heart	1:07:01::	3	noun.attribute	1	1	1	1	1	0
5	heart	1:07:01::	3	noun.attribute	1	1	1	1	1	1
3	heart	1:09:00::	1	noun.cognition	1	1	1	1	1	2
10	hearts	1:09:00::	1	noun.cognition	1	0	1	1	1	3
1	heart	1:07:01::	3	noun.attribute	1	0	1	1	1	4
2	heart	1:09:00::	1	noun.cognition	1	0	0	1	1	5
29	heart	1:08:00::	2	noun.body	1	0	0	1	1	6
5	heart	1:15:00::	4	noun.location	1	0	0	1	1	7
1	heart	1:08:00::	2	noun.body	1	0	0	1	1	8
27	heart	1:09:00::	1	noun.cognition	1	0	0	1	1	9
5	heart	1:09:00::	1	noun.cognition	1	0	0	0	1	10
2	heart	1:09:00::	1	noun.cognition	1	0	0	0	1	11
10	heart	1:08:00::	2	noun.body	1	0	0	0	1	12
6	heart	1:08:00::	2	noun.body	1	0	0	0	1	13
6	heart	1:09:00::	1	noun.cognition	1	0	0	0	1	14
8	heart	1:07:01::	3	noun.attribute	1	0	0	0	1	15
51	heart	1:09:01::	5	noun.cognition	1	0	0	0	1	16
8	heart	1:08:00::	2	noun.body	1	0	0	0	1	17
9	heart	1:08:00::	2	noun.body	1	0	0	0	1	18
11	heart	1:09:00::	1	noun.cognition	1	0	0	0	1	19
12	heart	1:08:00::	2	noun.body	1	0	0	0	0	20
7	heart	1:07:01::	3	noun.attribute	1	0	0	0	0	21
19	heart	1:09:00::	1	noun.cognition	1	0	0	0	0	22
14	heart	1:09:00::	1	noun.cognition	1	0	0	0	0	23
21	heart	1:09:00::	1	noun.cognition	1	0	0	0	0	24
22	heart	1:09:01::	5	noun.cognition	2	2	2	2	2	25
15	heart	1:08:00::	2	noun.body	2	2	2	2	2	26
22	heart	1:08:00::	2	noun.body	2	2	2	2	2	27
11	heart	1:09:00::	1	noun.cognition	2	0	2	2	2	28
10	heart	1:15:00::	4	noun.location	2	0	2	2	2	29
20	heart	1:09:00::	1	noun.cognition	2	0	0	2	2	30
15	heart	1:08:00::	2	noun.body	2	0	0	2	2	31
11	heart	1:08:00::	2	noun.body	2	0	0	2	2	32
15	hearts	1:09:00::	1	noun.cognition	2	0	0	2	2	33
10	heart	1:09:00::	1	noun.cognition	2	0	0	2	2	34
13	heart	1:07:01::	3	noun.attribute	2	0	0	0	2	35
35	heart	1:09:00::	1	noun.cognition	2	0	0	0	2	36
6	heart	1:08:00::	2	noun.body	2	0	0	0	2	37
6	heart	1:07:01::	3	noun.attribute	2	0	0	0	2	38
19	heart	1:09:00::	1	noun.cognition	2	0	0	0	2	39
13	heart	1:09:00::	1	noun.cognition	2	0	0	0	2	40
3	heart	1:07:01::	3	noun.attribute	2	0	0	0	2	41
15	heart	1:15:00::	4	noun.location	2	0	0	0	2	42
9	heart	1:08:00::	2	noun.body	2	0	0	0	2	43
6	heart	1:09:00::	1	noun.cognition	2	0	0	0	2	44
3	heart	1:09:00::	1	noun.cognition	2	0	0	0	0	45
3	heart	1:08:00::	2	noun.body	2	0	0	0	0	46
17	heart	1:08:00::	2	noun.body	2	0	0	0	0	47
5	heart	1:08:00::	2	noun.body	2	0	0	0	0	48
15	heart	1:08:00::	2	noun.body	2	0	0	0	0	49
