position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
10	heavy	3:00:01::	1	adj.all	1	1	1	1	1	0
2	heavy	5:00:00:thick:02	0	adj.all	1	1	1	1	1	1
5	heavy	5:00:00:wide:00	0	adj.all	1	1	1	1	1	2
1	heavy	3:00:03::	2	adj.all	1	0	1	1	1	3
5	heavier	3:00:03::	2	adj.all	1	0	1	1	1	4
20	heavy	3:00:01::	1	adj.all	1	0	0	1	1	5
20	heavy	3:00:01::	1	adj.all	1	0	0	1	1	6
8	heavy	3:00:03::	2	adj.all	1	0	0	1	1	7
4	heavy	3:00:01::	1	adj.all	1	0	0	1	1	8
11	heavy	3:00:01::	1	adj.all	1	0	0	1	1	9
3	heavier	5:00:00:fat:01	5	adj.all	1	0	0	0	1	10
13	heavy	3:00:01::	1	adj.all	1	0	0	0	1	11
4	heavy	3:00:03::	2	adj.all	1	0	0	0	1	12
8	heavy	3:00:01::	1	adj.all	1	0	0	0	1	13
32	heavy	3:00:01::	1	adj.all	1	0	0	0	1	14
4	heavy	3:00:03::	2	adj.all	1	0	0	0	1	15
19	heavy	5:00:00:thick:02	0	adj.all	1	0	0	0	1	16
14	heavy	3:00:03::	2	adj.all	1	0	0	0	1	17
4	heavy	3:00:03::	2	adj.all	1	0	0	0	1	18
30	heavy	3:00:01::	1	adj.all	1	0	0	0	1	19
5	heavy	3:00:01::	1	adj.all	1	0	0	0	0	20
30	heavy	3:00:01::	1	adj.all	1	0	0	0	0	21
20	heavy	3:00:01::	1	adj.all	1	0	0	0	0	22
16	heavier	3:00:03::	2	adj.all	1	0	0	0	0	23
29	heavy	3:00:01::	1	adj.all	1	0	0	0	0	24
9	heavy	3:00:04::	3	adj.all	2	2	2	2	2	25
14	heavy	3:00:04::	3	adj.all	2	2	2	2	2	26
11	heavy	5:00:00:wide:00	0	adj.all	2	2	2	2	2	27
3	heavier	3:00:01::	1	adj.all	2	0	2	2	2	28
5	heavy	3:00:01::	1	adj.all	2	0	2	2	2	29
2	heavy	3:00:01::	1	adj.all	2	0	0	2	2	30
4	heavy	3:00:01::	1	adj.all	2	0	0	2	2	31
19	heavy	3:00:01::	1	adj.all	2	0	0	2	2	32
2	heavy	3:00:01::	1	adj.all	2	0	0	2	2	33
9	heavy	3:00:01::	1	adj.all	2	0	0	2	2	34
6	heavy	3:00:02::	4	adj.all	2	0	0	0	2	35
25	heavy	3:00:04::	3	adj.all	2	0	0	0	2	36
6	heavy	3:00:01::	1	adj.all	2	0	0	0	2	37
4	heavy	3:00:04::	3	adj.all	2	0	0	0	2	38
7	heavy	3:00:01::	1	adj.all	2	0	0	0	2	39
10	heavy	3:00:04::	3	adj.all	2	0	0	0	2	40
35	heavier	5:00:00:thick:02	0	adj.all	2	0	0	0	2	41
9	heavy	5:00:00:cloudy:00	7	adj.all	2	0	0	0	2	42
14	heavy	3:00:01::	1	adj.all	2	0	0	0	2	43
9	heavy	3:00:01::	1	adj.all	2	0	0	0	2	44
25	heavier	3:00:01::	1	adj.all	2	0	0	0	0	45
14	heavy	5:00:00:compact:00	6	adj.all	2	0	0	0	0	46
11	heavier	3:00:01::	1	adj.all	2	0	0	0	0	47
8	heavier	3:00:03::	2	adj.all	2	0	0	0	0	48
5	heavy	3:00:01::	1	adj.all	2	0	0	0	0	49
