position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
19	help	2:41:00::	1	verb.social	1	1	1	1	1	0
7	helps	2:41:00::	1	verb.social	1	1	1	1	1	1
9	help	2:41:00::	1	verb.social	1	1	1	1	1	2
15	help	2:41:00::	1	verb.social	1	0	1	1	1	3
18	help	2:41:00::	1	verb.social	1	0	1	1	1	4
3	help	2:29:00::	2	verb.body	1	0	0	1	1	5
20	help	2:41:00::	1	verb.social	1	0	0	1	1	6
10	help	2:42:00::	3	verb.stative	1	0	0	1	1	7
8	helping	2:42:00::	3	verb.stative	1	0	0	1	1	8
23	help	2:41:00::	1	verb.social	1	0	0	1	1	9
37	helping	2:41:00::	1	verb.social	1	0	0	0	1	10
17	helping	2:41:00::	1	verb.social	1	0	0	0	1	11
9	help	2:41:00::	1	verb.social	1	0	0	0	1	12
38	help	2:41:00::	1	verb.social	1	0	0	0	1	13
14	help	2:42:00::	3	verb.stative	1	0	0	0	1	14
6	help	2:41:00::	1	verb.social	1	0	0	0	1	15
18	helping	2:41:00::	1	verb.social	1	0	0	0	1	16
20	helps	2:41:00::	1	verb.social	1	0	0	0	1	17
6	helps	2:41:00::	1	verb.social	1	0	0	0	1	18
8	helped	2:41:00::	1	verb.social	1	0	0	0	1	19
18	help	2:41:00::	1	verb.social	1	0	0	0	0	20
12	help	2:41:00::	1	verb.social	1	0	0	0	0	21
1	helped	2:41:00::	1	verb.social	1	0	0	0	0	22
4	help	2:41:00::	1	verb.social	1	0	0	0	0	23
16	help	2:29:00::	2	verb.body	1	0	0	0	0	24
9	help	2:41:00::	1	verb.social	2	2	2	2	2	25
4	helped	2:41:00::	1	verb.social	2	2	2	2	2	26
3	help	2:41:00::	1	verb.social	2	2	2	2	2	27
42	help	2:41:00::	1	verb.social	2	0	2	2	2	28
10	help	2:41:00::	1	verb.social	2	0	2	2	2	29
8	helped	2:41:00::	1	verb.social	2	0	0	2	2	30
29	help	2:42:00::	3	verb.stative	2	0	0	2	2	31
0	Helping	2:41:00::	1	verb.social	2	0	0	2	2	32
17	helping	2:41:00::	1	verb.social	2	0	0	2	2	33
13	help	2:41:00::	1	verb.social	2	0	0	2	2	34
8	helping	2:41:00::	1	verb.social	2	0	0	0	2	35
16	help	2:41:00::	1	verb.social	2	0	0	0	2	36
8	helped	2:41:00::	1	verb.social	2	0	0	0	2	37
3	help	2:41:00::	1	verb.social	2	0	0	0	2	38
2	helps	2:41:00::	1	verb.social	2	0	0	0	2	39
1	helped	2:41:00::	1	verb.social	2	0	0	0	2	40
22	help	2:41:00::	1	verb.social	2	0	0	0	2	41
2	helped	2:41:00::	1	verb.social	2	0	0	0	2	42
3	help	2:41:00::	1	verb.social	2	0	0	0	2	43
16	help	2:41:00::	1	verb.social	2	0	0	0	2	44
8	helped	2:41:00::	1	verb.social	2	0	0	0	0	45
18	helped	2:41:00::	1	verb.social	2	0	0	0	0	46
6	help	2:29:00::	2	verb.body	2	0	0	0	0	47
6	help	2:29:00::	2	verb.body	2	0	0	0	0	48
2	helped	2:41:00::	1	verb.social	2	0	0	0	0	49
