position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
15	high	3:00:02::	1	adj.all	1	1	1	1	1	0
14	higher	3:00:02::	1	adj.all	1	1	1	1	1	1
30	high	3:00:02::	1	adj.all	1	1	1	1	1	2
7	high	3:00:01::	2	adj.all	1	0	1	1	1	3
3	higher	3:00:02::	1	adj.all	1	0	1	1	1	4
3	higher	3:00:02::	1	adj.all	1	0	0	1	1	5
23	higher	3:00:02::	1	adj.all	1	0	0	1	1	6
22	higher	3:00:01::	2	adj.all	1	0	0	1	1	7
34	high	3:00:02::	1	adj.all	1	0	0	1	1	8
18	higher	3:00:01::	2	adj.all	1	0	0	1	1	9
2	high	3:00:02::	1	adj.all	1	0	0	0	1	10
34	high	3:00:02::	1	adj.all	1	0	0	0	1	11
6	higher	3:00:03::	4	adj.all	1	0	0	0	1	12
11	high	3:00:02::	1	adj.all	1	0	0	0	1	13
11	high	3:00:03::	4	adj.all	1	0	0	0	1	14
4	high	3:00:02::	1	adj.all	1	0	0	0	1	15
12	high	3:00:01::	2	adj.all	1	0	0	0	1	16
16	high	3:00:01::	2	adj.all	1	0	0	0	1	17
10	higher	3:00:02::	1	adj.all	1	0	0	0	1	18
0	High	3:00:02::	1	adj.all	1	0	0	0	1	19
9	higher	3:00:02::	1	adj.all	1	0	0	0	0	20
17	high	5:00:00:superior:01	3	adj.all	1	0	0	0	0	21
2	higher	5:00:00:superior:01	3	adj.all	1	0	0	0	0	22
13	higher	3:00:01::	2	adj.all	1	0	0	0	0	23
6	high	3:00:02::	1	adj.all	1	0	0	0	0	24
17	high	3:00:02::	1	adj.all	2	2	2	2	2	25
5	high	3:00:01::	2	adj.all	2	2	2	2	2	26
8	high	3:00:02::	1	adj.all	2	2	2	2	2	27
43	high	3:00:02::	1	adj.all	2	0	2	2	2	28
1	highest	3:00:01::	2	adj.all	2	0	2	2	2	29
4	high	3:00:02::	1	adj.all	2	0	0	2	2	30
1	high	3:00:02::	1	adj.all	2	0	0	2	2	31
4	higher	3:00:02::	1	adj.all	2	0	0	2	2	32
29	high	3:00:02::	1	adj.all	2	0	0	2	2	33
12	High	3:00:01::	2	adj.all	2	0	0	2	2	34
25	higher	3:00:02::	1	adj.all	2	0	0	0	2	35
52	high	3:00:01::	2	adj.all	2	0	0	0	2	36
18	high	3:00:02::	1	adj.all	2	0	0	0	2	37
1	high	3:00:02::	1	adj.all	2	0	0	0	2	38
15	high	3:00:01::	2	adj.all	2	0	0	0	2	39
9	higher	5:00:00:superior:01	3	adj.all	2	0	0	0	2	40
5	higher	3:00:02::	1	adj.all	2	0	0	0	2	41
5	high	3:00:02::	1	adj.all	2	0	0	0	2	42
9	high	3:00:02::	1	adj.all	2	0	0	0	2	43
10	high	3:00:02::	1	adj.all	2	0	0	0	2	44
19	higher	3:00:02::	1	adj.all	2	0	0	0	0	45
16	higher	3:00:01::	2	adj.all	2	0	0	0	0	46
9	high	3:00:01::	2	adj.all	2	0	0	0	0	47
1	high	3:00:03::	4	adj.all	2	0	0	0	0	48
6	high	5:00:00:superior:01	3	adj.all	2	0	0	0	0	49
