position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
30	history	1:28:00::	1	noun.time	1	1	1	1	1	0
3	history	1:28:00::	1	noun.time	1	1	1	1	1	1
15	History	1:09:00::	3	noun.cognition	1	1	1	1	1	2
24	history	1:10:00::	2	noun.communication	1	0	1	1	1	3
8	history	1:10:00::	2	noun.communication	1	0	1	1	1	4
8	history	1:09:00::	3	noun.cognition	1	0	0	1	1	5
14	history	1:28:00::	1	noun.time	1	0	0	1	1	6
25	history	1:28:02::	4	noun.time	1	0	0	1	1	7
4	History	1:28:00::	1	noun.time	1	0	0	1	1	8
17	history	1:28:00::	1	noun.time	1	0	0	1	1	9
10	history	1:10:00::	2	noun.communication	1	0	0	0	1	10
7	history	1:28:00::	1	noun.time	1	0	0	0	1	11
29	history	1:28:02::	4	noun.time	1	0	0	0	1	12
17	history	1:28:00::	1	noun.time	1	0	0	0	1	13
24	history	1:28:00::	1	noun.time	1	0	0	0	1	14
9	history	1:28:00::	1	noun.time	1	0	0	0	1	15
4	history	1:09:00::	3	noun.cognition	1	0	0	0	1	16
7	history	1:28:02::	4	noun.time	1	0	0	0	1	17
22	history	1:28:00::	1	noun.time	1	0	0	0	1	18
18	History	1:10:00::	2	noun.communication	1	0	0	0	1	19
10	history	1:10:00::	2	noun.communication	1	0	0	0	0	20
8	history	1:28:00::	1	noun.time	1	0	0	0	0	21
21	history	1:28:00::	1	noun.time	1	0	0	0	0	22
4	history	1:09:00::	3	noun.cognition	1	0	0	0	0	23
15	history	1:10:00::	2	noun.communication	1	0	0	0	0	24
13	history	1:10:00::	2	noun.communication	2	2	2	2	2	25
6	history	1:10:00::	2	noun.communication	2	2	2	2	2	26
26	history	1:10:00::	2	noun.communication	2	2	2	2	2	27
23	history	1:28:00::	1	noun.time	2	0	2	2	2	28
8	history	1:09:01::	5	noun.cognition	2	0	2	2	2	29
2	history	1:28:00::	1	noun.time	2	0	0	2	2	30
6	history	1:09:00::	3	noun.cognition	2	0	0	2	2	31
6	history	1:28:02::	4	noun.time	2	0	0	2	2	32
4	history	1:28:00::	1	noun.time	2	0	0	2	2	33
6	history	1:28:00::	1	noun.time	2	0	0	2	2	34
31	history	1:28:02::	4	noun.time	2	0	0	0	2	35
10	history	1:28:00::	1	noun.time	2	0	0	0	2	36
8	History	1:09:00::	3	noun.cognition	2	0	0	0	2	37
3	history	1:10:00::	2	noun.communication	2	0	0	0	2	38
11	history	1:28:00::	1	noun.time	2	0	0	0	2	39
15	history	1:28:00::	1	noun.time	2	0	0	0	2	40
5	history	1:28:00::	1	noun.time	2	0	0	0	2	41
15	history	1:28:00::	1	noun.time	2	0	0	0	2	42
21	history	1:28:02::	4	noun.time	2	0	0	0	2	43
52	history	1:28:00::	1	noun.time	2	0	0	0	2	44
15	history	1:10:00::	2	noun.communication	2	0	0	0	0	45
18	history	1:28:02::	4	noun.time	2	0	0	0	0	46
12	history	1:09:00::	3	noun.cognition	2	0	0	0	0	47
26	history	1:09:00::	3	noun.cognition	2	0	0	0	0	48
26	history	1:28:00::	1	noun.time	2	0	0	0	0	49
