position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
10	hit	2:35:01::	2	verb.contact	1	1	1	1	1	0
3	hit	2:38:00::	4	verb.motion	1	1	1	1	1	1
28	hit	2:38:00::	4	verb.motion	1	1	1	1	1	2
7	hit	2:35:03::	1	verb.contact	1	0	1	1	1	3
3	hit	2:33:01::	6	verb.competition	1	0	1	1	1	4
4	hit	2:35:00::	3	verb.contact	1	0	0	1	1	5
6	hit	2:35:00::	3	verb.contact	1	0	0	1	1	6
3	hit	2:35:05::	5	verb.contact	1	0	0	1	1	7
28	hit	2:35:01::	2	verb.contact	1	0	0	1	1	8
29	hit	2:35:01::	2	verb.contact	1	0	0	1	1	9
4	hitting	2:35:03::	1	verb.contact	1	0	0	0	1	10
18	hitting	2:33:02::	8	verb.competition	1	0	0	0	1	11
1	hit	2:35:00::	3	verb.contact	1	0	0	0	1	12
7	hit	2:35:03::	1	verb.contact	1	0	0	0	1	13
25	hit	2:38:00::	4	verb.motion	1	0	0	0	1	14
14	hit	2:35:03::	1	verb.contact	1	0	0	0	1	15
8	hit	2:35:01::	2	verb.contact	1	0	0	0	1	16
17	hits	2:35:01::	2	verb.contact	1	0	0	0	1	17
1	Hit	2:35:00::	3	verb.contact	1	0	0	0	1	18
6	hit	2:40:05::	7	verb.possession	1	0	0	0	1	19
3	hit	2:35:03::	1	verb.contact	1	0	0	0	0	20
18	hit	2:35:00::	3	verb.contact	1	0	0	0	0	21
3	hit	2:35:00::	3	verb.contact	1	0	0	0	0	22
17	hit	2:38:00::	4	verb.motion	1	0	0	0	0	23
1	hit	2:38:00::	4	verb.motion	1	0	0	0	0	24
1	hit	2:35:03::	1	verb.contact	2	2	2	2	2	25
7	hit	2:38:00::	4	verb.motion	2	2	2	2	2	26
6	hit	2:35:05::	5	verb.contact	2	2	2	2	2	27
3	hit	2:35:03::	1	verb.contact	2	0	2	2	2	28
14	hit	2:35:00::	3	verb.contact	2	0	2	2	2	29
2	hit	2:39:00::	9	verb.perception	2	0	0	2	2	30
2	hitting	2:35:01::	2	verb.contact	2	0	0	2	2	31
7	hit	2:35:00::	3	verb.contact	2	0	0	2	2	32
4	hit	2:40:05::	7	verb.possession	2	0	0	2	2	33
13	hit	2:35:01::	2	verb.contact	2	0	0	2	2	34
4	hitting	2:35:01::	2	verb.contact	2	0	0	0	2	35
5	hit	2:35:05::	5	verb.contact	2	0	0	0	2	36
6	hit	2:35:01::	2	verb.contact	2	0	0	0	2	37
7	hit	2:33:02::	8	verb.competition	2	0	0	0	2	38
12	hit	2:35:01::	2	verb.contact	2	0	0	0	2	39
13	hit	2:35:05::	5	verb.contact	2	0	0	0	2	40
4	hit	2:35:05::	5	verb.contact	2	0	0	0	2	41
8	hit	2:40:05::	7	verb.possession	2	0	0	0	2	42
27	hit	2:35:01::	2	verb.contact	2	0	0	0	2	43
3	hit	2:35:05::	5	verb.contact	2	0	0	0	2	44
3	hit	2:35:00::	3	verb.contact	2	0	0	0	0	45
1	hit	2:35:03::	1	verb.contact	2	0	0	0	0	46
2	hit	2:35:01::	2	verb.contact	2	0	0	0	0	47
27	hit	2:33:01::	6	verb.competition	2	0	0	0	0	48
10	hit	2:33:01::	6	verb.competition	2	0	0	0	0	49
