position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
19	hold	2:40:04::	9	verb.possession	1	1	1	1	1	0
8	held	2:42:00::	1	verb.stative	1	1	1	1	1	1
10	hold	2:42:00::	1	verb.stative	1	1	1	1	1	2
5	held	2:35:03::	7	verb.contact	1	0	1	1	1	3
11	holding	2:35:00::	2	verb.contact	1	0	1	1	1	4
10	held	2:36:00::	3	verb.creation	1	0	0	1	1	5
8	held	2:36:00::	3	verb.creation	1	0	0	1	1	6
8	hold	2:35:00::	2	verb.contact	1	0	0	1	1	7
4	held	2:36:00::	3	verb.creation	1	0	0	1	1	8
1	hold	2:40:02::	8	verb.possession	1	0	0	1	1	9
4	held	2:31:04::	22	verb.cognition	1	0	0	0	1	10
17	held	2:35:00::	2	verb.contact	1	0	0	0	1	11
1	held	2:35:00::	2	verb.contact	1	0	0	0	1	12
2	held	2:42:00::	1	verb.stative	1	0	0	0	1	13
14	holding	2:42:00::	1	verb.stative	1	0	0	0	1	14
15	held	2:40:04::	9	verb.possession	1	0	0	0	1	15
10	held	2:35:01::	10	verb.contact	1	0	0	0	1	16
6	holding	2:42:00::	1	verb.stative	1	0	0	0	1	17
24	held	2:36:00::	3	verb.creation	1	0	0	0	1	18
1	held	2:35:00::	2	verb.contact	1	0	0	0	1	19
8	held	2:40:04::	9	verb.possession	1	0	0	0	0	20
26	held	2:36:00::	3	verb.creation	1	0	0	0	0	21
5	held	2:36:00::	3	verb.creation	1	0	0	0	0	22
19	holds	2:42:00::	1	verb.stative	1	0	0	0	0	23
39	held	2:42:00::	1	verb.stative	1	0	0	0	0	24
1	held	2:35:00::	2	verb.contact	2	2	2	2	2	25
10	hold	2:42:00::	1	verb.stative	2	2	2	2	2	26
4	holds	2:40:00::	4	verb.possession	2	2	2	2	2	27
15	hold	2:35:00::	2	verb.contact	2	0	2	2	2	28
1	holds	2:37:00::	6	verb.emotion	2	0	2	2	2	29
3	held	2:31:01::	5	verb.cognition	2	0	0	2	2	30
27	held	2:36:00::	3	verb.creation	2	0	0	2	2	31
3	hold	2:42:00::	1	verb.stative	2	0	0	2	2	32
13	hold	2:35:00::	2	verb.contact	2	0	0	2	2	33
30	held	2:42:00::	1	verb.stative	2	0	0	2	2	34
9	held	2:40:00::	4	verb.possession	2	0	0	0	2	35
2	hold	2:35:00::	2	verb.contact	2	0	0	0	2	36
9	held	2:36:00::	3	verb.creation	2	0	0	0	2	37
5	holds	2:35:01::	10	verb.contact	2	0	0	0	2	38
15	hold	2:36:00::	3	verb.creation	2	0	0	0	2	39
8	held	2:42:00::	1	verb.stative	2	0	0	0	2	40
4	held	2:36:00::	3	verb.creation	2	0	0	0	2	41
5	hold	2:35:03::	7	verb.contact	2	0	0	0	2	42
1	held	2:36:00::	3	verb.creation	2	0	0	0	2	43
2	holds	2:42:02::	15	verb.stative	2	0	0	0	2	44
40	held	2:40:04::	9	verb.possession	2	0	0	0	0	45
4	hold	2:42:13::	11	verb.stative	2	0	0	0	0	46
22	held	2:35:00::	2	verb.contact	2	0	0	0	0	47
12	held	2:36:00::	3	verb.creation	2	0	0	0	0	48
20	held	2:35:02::	14	verb.contact	2	0	0	0	0	49
