position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
9	home	1:06:00::	2	noun.artifact	1	1	1	1	1	0
15	home	1:06:00::	2	noun.artifact	1	1	1	1	1	1
14	home	1:15:05::	5	noun.location	1	1	1	1	1	2
8	homes	1:06:00::	2	noun.artifact	1	0	1	1	1	3
2	homes	1:06:00::	2	noun.artifact	1	0	1	1	1	4
21	home	1:06:00::	2	noun.artifact	1	0	0	1	1	5
5	home	1:15:05::	5	noun.location	1	0	0	1	1	6
21	home	1:06:00::	2	noun.artifact	1	0	0	1	1	7
16	home	1:15:02::	3	noun.location	1	0	0	1	1	8
21	homes	1:06:00::	2	noun.artifact	1	0	0	1	1	9
19	home	1:06:00::	2	noun.artifact	1	0	0	0	1	10
35	home	1:15:03::	6	noun.location	1	0	0	0	1	11
9	home	1:15:02::	3	noun.location	1	0	0	0	1	12
17	homes	1:06:00::	2	noun.artifact	1	0	0	0	1	13
16	home	1:06:00::	2	noun.artifact	1	0	0	0	1	14
32	homes	1:06:00::	2	noun.artifact	1	0	0	0	1	15
21	homes	1:06:00::	2	noun.artifact	1	0	0	0	1	16
45	home	1:15:02::	3	noun.location	1	0	0	0	1	17
13	homes	1:06:00::	2	noun.artifact	1	0	0	0	1	18
12	home	1:06:00::	2	noun.artifact	1	0	0	0	1	19
2	home	1:06:00::	2	noun.artifact	1	0	0	0	0	20
6	homes	1:06:00::	2	noun.artifact	1	0	0	0	0	21
24	home	1:06:00::	2	noun.artifact	1	0	0	0	0	22
8	homes	1:06:00::	2	noun.artifact	1	0	0	0	0	23
23	homes	1:06:00::	2	noun.artifact	1	0	0	0	0	24
42	home	1:15:04::	1	noun.location	2	2	2	2	2	25
5	homes	1:15:04::	1	noun.location	2	2	2	2	2	26
27	home	1:15:04::	1	noun.location	2	2	2	2	2	27
3	home	1:15:04::	1	noun.location	2	0	2	2	2	28
11	home	1:15:04::	1	noun.location	2	0	2	2	2	29
21	home	1:15:04::	1	noun.location	2	0	0	2	2	30
14	home	1:15:04::	1	noun.location	2	0	0	2	2	31
10	home	1:15:04::	1	noun.location	2	0	0	2	2	32
1	home	1:15:04::	1	noun.location	2	0	0	2	2	33
18	home	1:06:02::	4	noun.artifact	2	0	0	2	2	34
18	home	1:15:04::	1	noun.location	2	0	0	0	2	35
0	Home	1:15:04::	1	noun.location	2	0	0	0	2	36
21	home	1:15:04::	1	noun.location	2	0	0	0	2	37
12	home	1:15:04::	1	noun.location	2	0	0	0	2	38
6	home	1:15:04::	1	noun.location	2	0	0	0	2	39
10	home	1:15:04::	1	noun.location	2	0	0	0	2	40
31	home	1:15:04::	1	noun.location	2	0	0	0	2	41
20	home	1:15:04::	1	noun.location	2	0	0	0	2	42
2	home	1:15:04::	1	noun.location	2	0	0	0	2	43
21	home	1:15:04::	1	noun.location	2	0	0	0	2	44
19	home	1:15:04::	1	noun.location	2	0	0	0	0	45
10	home	1:06:02::	4	noun.artifact	2	0	0	0	0	46
5	home	1:15:04::	1	noun.location	2	0	0	0	0	47
4	home	1:15:04::	1	noun.location	2	0	0	0	0	48
15	home	1:15:04::	1	noun.location	2	0	0	0	0	49
