position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
18	home	4:02:01::	1	adv.all	1	1	1	1	1	0
11	home	4:02:01::	1	adv.all	1	1	1	1	1	1
18	home	4:02:01::	1	adv.all	1	1	1	1	1	2
4	home	4:02:01::	1	adv.all	1	0	1	1	1	3
4	home	4:02:04::	2	adv.all	1	0	1	1	1	4
6	home	4:02:01::	1	adv.all	1	0	0	1	1	5
2	home	4:02:01::	1	adv.all	1	0	0	1	1	6
50	home	4:02:01::	1	adv.all	1	0	0	1	1	7
11	home	4:02:01::	1	adv.all	1	0	0	1	1	8
1	home	4:02:01::	1	adv.all	1	0	0	1	1	9
7	home	4:02:01::	1	adv.all	1	0	0	0	1	10
9	home	4:02:01::	1	adv.all	1	0	0	0	1	11
12	home	4:02:01::	1	adv.all	1	0	0	0	1	12
51	home	4:02:01::	1	adv.all	1	0	0	0	1	13
1	home	4:02:01::	1	adv.all	1	0	0	0	1	14
6	home	4:02:01::	1	adv.all	1	0	0	0	1	15
20	home	4:02:01::	1	adv.all	1	0	0	0	1	16
3	home	4:02:01::	1	adv.all	1	0	0	0	1	17
7	home	4:02:01::	1	adv.all	1	0	0	0	1	18
51	home	4:02:01::	1	adv.all	1	0	0	0	1	19
5	home	4:02:01::	1	adv.all	1	0	0	0	0	20
7	home	4:02:01::	1	adv.all	1	0	0	0	0	21
5	home	4:02:01::	1	adv.all	1	0	0	0	0	22
11	home	4:02:01::	1	adv.all	1	0	0	0	0	23
7	home	4:02:01::	1	adv.all	1	0	0	0	0	24
29	home	4:02:01::	1	adv.all	2	2	2	2	2	25
6	home	4:02:01::	1	adv.all	2	2	2	2	2	26
12	home	4:02:01::	1	adv.all	2	2	2	2	2	27
4	home	4:02:01::	1	adv.all	2	0	2	2	2	28
3	home	4:02:01::	1	adv.all	2	0	2	2	2	29
3	home	4:02:01::	1	adv.all	2	0	0	2	2	30
13	home	4:02:04::	2	adv.all	2	0	0	2	2	31
12	home	4:02:01::	1	adv.all	2	0	0	2	2	32
1	home	4:02:01::	1	adv.all	2	0	0	2	2	33
8	home	4:02:01::	1	adv.all	2	0	0	2	2	34
15	home	4:02:01::	1	adv.all	2	0	0	0	2	35
8	home	4:02:01::	1	adv.all	2	0	0	0	2	36
8	home	4:02:01::	1	adv.all	2	0	0	0	2	37
19	home	4:02:01::	1	adv.all	2	0	0	0	2	38
19	home	4:02:01::	1	adv.all	2	0	0	0	2	39
50	home	4:02:01::	1	adv.all	2	0	0	0	2	40
36	home	4:02:01::	1	adv.all	2	0	0	0	2	41
19	home	4:02:01::	1	adv.all	2	0	0	0	2	42
20	home	4:02:01::	1	adv.all	2	0	0	0	2	43
17	home	4:02:01::	1	adv.all	2	0	0	0	2	44
21	home	4:02:01::	1	adv.all	2	0	0	0	0	45
1	home	4:02:01::	1	adv.all	2	0	0	0	0	46
5	home	4:02:01::	1	adv.all	2	0	0	0	0	47
26	home	4:02:01::	1	adv.all	2	0	0	0	0	48
4	home	4:02:01::	1	adv.all	2	0	0	0	0	49
