position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
6	hopes	2:37:01::	1	verb.emotion	1	1	1	1	1	0
38	hoping	2:37:00::	2	verb.emotion	1	1	1	1	1	1
17	hoping	2:37:00::	2	verb.emotion	1	1	1	1	1	2
4	hoping	2:37:00::	2	verb.emotion	1	0	1	1	1	3
1	hopes	2:37:01::	1	verb.emotion	1	0	1	1	1	4
10	hope	2:37:01::	1	verb.emotion	1	0	0	1	1	5
1	hopes	2:37:01::	1	verb.emotion	1	0	0	1	1	6
1	hoped	2:37:00::	2	verb.emotion	1	0	0	1	1	7
17	hopes	2:31:00::	3	verb.cognition	1	0	0	1	1	8
8	hope	2:31:00::	3	verb.cognition	1	0	0	1	1	9
1	hope	2:37:01::	1	verb.emotion	1	0	0	0	1	10
8	hoped	2:37:00::	2	verb.emotion	1	0	0	0	1	11
7	hoping	2:37:00::	2	verb.emotion	1	0	0	0	1	12
6	hope	2:37:01::	1	verb.emotion	1	0	0	0	1	13
37	hoping	2:31:00::	3	verb.cognition	1	0	0	0	1	14
2	hope	2:37:00::	2	verb.emotion	1	0	0	0	1	15
9	hoped	2:31:00::	3	verb.cognition	1	0	0	0	1	16
2	hope	2:37:00::	2	verb.emotion	1	0	0	0	1	17
2	hope	2:37:01::	1	verb.emotion	1	0	0	0	1	18
1	hopes	2:31:00::	3	verb.cognition	1	0	0	0	1	19
9	hoped	2:37:01::	1	verb.emotion	1	0	0	0	0	20
9	hope	2:37:01::	1	verb.emotion	1	0	0	0	0	21
12	hoping	2:31:00::	3	verb.cognition	1	0	0	0	0	22
13	hope	2:31:00::	3	verb.cognition	1	0	0	0	0	23
15	hoped	2:37:00::	2	verb.emotion	1	0	0	0	0	24
18	hoped	2:37:00::	2	verb.emotion	2	2	2	2	2	25
22	hope	2:37:01::	1	verb.emotion	2	2	2	2	2	26
12	hope	2:31:00::	3	verb.cognition	2	2	2	2	2	27
2	hoping	2:37:00::	2	verb.emotion	2	0	2	2	2	28
2	hope	2:37:01::	1	verb.emotion	2	0	2	2	2	29
2	hope	2:37:01::	1	verb.emotion	2	0	0	2	2	30
4	hoped	2:31:00::	3	verb.cognition	2	0	0	2	2	31
0	Hope	2:37:00::	2	verb.emotion	2	0	0	2	2	32
12	hoping	2:37:01::	1	verb.emotion	2	0	0	2	2	33
17	hope	2:37:00::	2	verb.emotion	2	0	0	2	2	34
4	hoping	2:37:01::	1	verb.emotion	2	0	0	0	2	35
18	hope	2:31:00::	3	verb.cognition	2	0	0	0	2	36
1	hoped	2:37:00::	2	verb.emotion	2	0	0	0	2	37
17	hope	2:37:00::	2	verb.emotion	2	0	0	0	2	38
15	hoped	2:31:00::	3	verb.cognition	2	0	0	0	2	39
1	hope	2:37:01::	1	verb.emotion	2	0	0	0	2	40
38	hopes	2:37:01::	1	verb.emotion	2	0	0	0	2	41
22	hoping	2:37:00::	2	verb.emotion	2	0	0	0	2	42
15	hopes	2:37:01::	1	verb.emotion	2	0	0	0	2	43
27	hoped	2:37:00::	2	verb.emotion	2	0	0	0	2	44
25	hoping	2:37:01::	1	verb.emotion	2	0	0	0	0	45
12	hope	2:31:00::	3	verb.cognition	2	0	0	0	0	46
36	hoped	2:37:01::	1	verb.emotion	2	0	0	0	0	47
6	hoped	2:37:01::	1	verb.emotion	2	0	0	0	0	48
50	hope	2:37:01::	1	verb.emotion	2	0	0	0	0	49
