position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
5	horse	1:05:00::	1	noun.animal	1	1	1	1	1	0
21	horses	1:05:00::	1	noun.animal	1	1	1	1	1	1
8	horse	1:05:00::	1	noun.animal	1	1	1	1	1	2
1	horse	1:05:00::	1	noun.animal	1	0	1	1	1	3
1	horse	1:05:00::	1	noun.animal	1	0	1	1	1	4
12	horse	1:05:00::	1	noun.animal	1	0	0	1	1	5
33	horse	1:05:00::	1	noun.animal	1	0	0	1	1	6
10	horse	1:05:00::	1	noun.animal	1	0	0	1	1	7
0	Horse	1:05:00::	1	noun.animal	1	0	0	1	1	8
17	horse	1:05:00::	1	noun.animal	1	0	0	1	1	9
7	horse	1:05:00::	1	noun.animal	1	0	0	0	1	10
11	horse	1:05:00::	1	noun.animal	1	0	0	0	1	11
18	horses	1:05:00::	1	noun.animal	1	0	0	0	1	12
3	horses	1:05:00::	1	noun.animal	1	0	0	0	1	13
4	horse	1:05:00::	1	noun.animal	1	0	0	0	1	14
1	horse	1:05:00::	1	noun.animal	1	0	0	0	1	15
6	horses	1:05:00::	1	noun.animal	1	0	0	0	1	16
15	horse	1:05:00::	1	noun.animal	1	0	0	0	1	17
3	horse	1:06:03::	2	noun.artifact	1	0	0	0	1	18
14	horse	1:05:00::	1	noun.animal	1	0	0	0	1	19
8	horse	1:05:00::	1	noun.animal	1	0	0	0	0	20
25	horses	1:05:00::	1	noun.animal	1	0	0	0	0	21
23	horse	1:05:00::	1	noun.animal	1	0	0	0	0	22
15	horse	1:05:00::	1	noun.animal	1	0	0	0	0	23
10	horse	1:05:00::	1	noun.animal	1	0	0	0	0	24
12	horse	1:05:00::	1	noun.animal	2	2	2	2	2	25
38	horses	1:05:00::	1	noun.animal	2	2	2	2	2	26
16	horse	1:05:00::	1	noun.animal	2	2	2	2	2	27
30	horse	1:05:00::	1	noun.animal	2	0	2	2	2	28
3	horses	1:05:00::	1	noun.animal	2	0	2	2	2	29
25	horse	1:05:00::	1	noun.animal	2	0	0	2	2	30
4	horse	1:05:00::	1	noun.animal	2	0	0	2	2	31
4	horses	1:05:00::	1	noun.animal	2	0	0	2	2	32
7	horses	1:05:00::	1	noun.animal	2	0	0	2	2	33
4	horse	1:05:00::	1	noun.animal	2	0	0	2	2	34
12	horse	1:05:00::	1	noun.animal	2	0	0	0	2	35
17	horse	1:05:00::	1	noun.animal	2	0	0	0	2	36
13	horse	1:05:00::	1	noun.animal	2	0	0	0	2	37
8	horses	1:05:00::	1	noun.animal	2	0	0	0	2	38
4	horse	1:05:00::	1	noun.animal	2	0	0	0	2	39
21	horse	1:05:00::	1	noun.animal	2	0	0	0	2	40
12	horse	1:05:00::	1	noun.animal	2	0	0	0	2	41
10	horse	1:05:00::	1	noun.animal	2	0	0	0	2	42
22	horse	1:05:00::	1	noun.animal	2	0	0	0	2	43
5	horse	1:05:00::	1	noun.animal	2	0	0	0	2	44
12	horses	1:05:00::	1	noun.animal	2	0	0	0	0	45
7	horse	1:05:00::	1	noun.animal	2	0	0	0	0	46
3	horse	1:05:00::	1	noun.animal	2	0	0	0	0	47
3	horse	1:05:00::	1	noun.animal	2	0	0	0	0	48
2	horse	1:05:00::	1	noun.animal	2	0	0	0	0	49
