position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
6	hour	1:28:00::	1	noun.time	1	1	1	1	1	0
17	hour	1:28:00::	1	noun.time	1	1	1	1	1	1
24	hours	1:28:00::	1	noun.time	1	1	1	1	1	2
20	hours	1:28:00::	1	noun.time	1	0	1	1	1	3
5	hour	1:28:00::	1	noun.time	1	0	1	1	1	4
1	hours	1:28:00::	1	noun.time	1	0	0	1	1	5
42	hours	1:28:00::	1	noun.time	1	0	0	1	1	6
40	hours	1:28:00::	1	noun.time	1	0	0	1	1	7
13	hour	1:28:00::	1	noun.time	1	0	0	1	1	8
8	hours	1:28:00::	1	noun.time	1	0	0	1	1	9
37	hour	1:28:00::	1	noun.time	1	0	0	0	1	10
7	hour	1:28:01::	2	noun.time	1	0	0	0	1	11
20	hour	1:28:00::	1	noun.time	1	0	0	0	1	12
17	hour	1:28:00::	1	noun.time	1	0	0	0	1	13
35	hour	1:28:00::	1	noun.time	1	0	0	0	1	14
3	hours	1:28:01::	2	noun.time	1	0	0	0	1	15
11	hour	1:28:01::	2	noun.time	1	0	0	0	1	16
9	hours	1:28:00::	1	noun.time	1	0	0	0	1	17
3	hour	1:28:01::	2	noun.time	1	0	0	0	1	18
30	hour	1:28:01::	2	noun.time	1	0	0	0	1	19
11	hours	1:28:00::	1	noun.time	1	0	0	0	0	20
4	hours	1:28:00::	1	noun.time	1	0	0	0	0	21
3	hours	1:28:01::	2	noun.time	1	0	0	0	0	22
6	hours	1:28:00::	1	noun.time	1	0	0	0	0	23
34	hour	1:28:00::	1	noun.time	1	0	0	0	0	24
12	hours	1:28:01::	2	noun.time	2	2	2	2	2	25
27	hour	1:28:01::	2	noun.time	2	2	2	2	2	26
3	hour	1:28:00::	1	noun.time	2	2	2	2	2	27
3	hours	1:28:00::	1	noun.time	2	0	2	2	2	28
45	hour	1:28:00::	1	noun.time	2	0	2	2	2	29
8	hour	1:28:01::	2	noun.time	2	0	0	2	2	30
11	hour	1:28:00::	1	noun.time	2	0	0	2	2	31
6	hour	1:28:00::	1	noun.time	2	0	0	2	2	32
8	hours	1:28:00::	1	noun.time	2	0	0	2	2	33
9	hour	1:28:00::	1	noun.time	2	0	0	2	2	34
4	hour	1:28:00::	1	noun.time	2	0	0	0	2	35
15	hours	1:28:00::	1	noun.time	2	0	0	0	2	36
26	hours	1:28:00::	1	noun.time	2	0	0	0	2	37
27	hour	1:28:00::	1	noun.time	2	0	0	0	2	38
5	hour	1:28:00::	1	noun.time	2	0	0	0	2	39
9	hour	1:28:00::	1	noun.time	2	0	0	0	2	40
11	hour	1:28:00::	1	noun.time	2	0	0	0	2	41
66	hour	1:28:01::	2	noun.time	2	0	0	0	2	42
4	hours	1:28:00::	1	noun.time	2	0	0	0	2	43
36	hours	1:28:00::	1	noun.time	2	0	0	0	2	44
13	hour	1:28:00::	1	noun.time	2	0	0	0	0	45
4	hour	1:28:01::	2	noun.time	2	0	0	0	0	46
7	hours	1:28:00::	1	noun.time	2	0	0	0	0	47
1	hour	1:28:00::	1	noun.time	2	0	0	0	0	48
6	hour	1:28:00::	1	noun.time	2	0	0	0	0	49
